variable,dta_variable_label,question_text,codebook_page,question_text_filled
abany,abortion if woman wants for any reason,,,abortion if woman wants for any reason
abanyg,abortion if woman wants for any reason (grid on web),,,abortion if woman wants for any reason (grid on web)
abbelief,pro-choice vs pro-life,,,pro-choice vs pro-life
abdefect,strong chance of serious defect,,,strong chance of serious defect
abdefectg,strong chance of serious defect (grid on web),,,strong chance of serious defect (grid on web)
abgender,abortion legal for gender selection,,,abortion legal for gender selection
abhelp1,r would help with arrangements for abortion,,,r would help with arrangements for abortion
abhelp2,r would help with paying for abortion,,,r would help with paying for abortion
abhelp3,r would help with paying for abortion-related other costs,,,r would help with paying for abortion-related other costs
abhelp4,r would help with emotional support for abortion,,,r would help with emotional support for abortion
abhlth,woman's health seriously endangered,,,woman's health seriously endangered
abhlthg,woman's health seriously endangered (grid on web),,,woman's health seriously endangered (grid on web)
abmoral,r has a moral opposition to abortion,,,r has a moral opposition to abortion
abnomore,married--wants no more children,,,married--wants no more children
abnomoreg,married--wants no more children (grid on web),,,married--wants no more children (grid on web)
abpoor,low income--cant afford more children,,,low income--cant afford more children
abpoorg,low income--cant afford more children (grid on web),,,low income--cant afford more children (grid on web)
abrape,pregnant as result of rape,,,pregnant as result of rape
abrapeg,pregnant as result of rape (grid on web),,,pregnant as result of rape (grid on web)
absingle,not married,,,not married
absingleg,not married (grid on web),,,not married (grid on web)
acqntsex,r had sex with acquaintance last year,,,r had sex with acquaintance last year
adminconsent,consent to possible data linkage,,,consent to possible data linkage
adoptus,immigrants living in us should adopt us culture,,,immigrants living in us should adopt us culture
adults,household members 18 yrs and older (household roster),,,household members 18 yrs and older (household roster)
adults_exp,adults 18+ in hh(experimental version),,,adults 18+ in hh(experimental version)
adultsinhh,total adults in hh (household composition version),,,total adults in hh (household composition version)
advfront,sci rsch is necessary and should be supported by federal govt,,,sci rsch is necessary and should be supported by federal govt
affrmact,favor preference in hiring black people,,,favor preference in hiring black people
afraidof,people act as if they are afraid of r,,,people act as if they are afraid of r
age,age of respondent,,,age of respondent
aged,should aged live with their children,,,should aged live with their children
agednv,should aged live with their children (no volunteered response on web),,,should aged live with their children (no volunteered response on web)
agedv,should aged live with their children (with volunteered response on web),,,should aged live with their children (with volunteered response on web)
agehef1,age of first person in household screening,,,age of first person in household screening
agehef10,age of tenth person in household screening (if applicable),,,age of tenth person in household screening (if applicable)
agehef11,age of eleventh person in household screening (if applicable),,,age of eleventh person in household screening (if applicable)
agehef12,age of twelfth person in household screening (if applicable),,,age of twelfth person in household screening (if applicable)
agehef13,age of thirteenth person in household screening (if applicable),,,age of thirteenth person in household screening (if applicable)
agehef14,age of fourteenth person in household screening (if applicable),,,age of fourteenth person in household screening (if applicable)
agehef2,age of second person in household screening (if applicable),,,age of second person in household screening (if applicable)
agehef3,age of third person in household screening (if applicable),,,age of third person in household screening (if applicable)
agehef4,age of fourth person in household screening (if applicable),,,age of fourth person in household screening (if applicable)
agehef5,age of fifth person in household screening (if applicable),,,age of fifth person in household screening (if applicable)
agehef6,age of sixth person in household screening (if applicable),,,age of sixth person in household screening (if applicable)
agehef7,age of seventh person in household screening (if applicable),,,age of seventh person in household screening (if applicable)
agehef8,age of eighth person in household screening (if applicable),,,age of eighth person in household screening (if applicable)
agehef9,age of ninth person in household screening (if applicable),,,age of ninth person in household screening (if applicable)
agekdbrn,r's age when 1st child born,,,r's age when 1st child born
agekdbrn_9422,r's age when 1st child born,,,r's age when 1st child born
allorglevel,all levels of org are involved in stress prevention,,,all levels of org are involved in stress prevention
altmed,alt med provides better solutions,,,alt med provides better solutions
altsat,how satisfied r with alt health treatment,,,how satisfied r with alt health treatment
amerstatus,amerispeak sample indicator for gss 2022,,,amerispeak sample indicator for gss 2022
arthrtis,told have arthritis or rheumatism,,,told have arthritis or rheumatism
artsout,outdoor art activity in past 12 months,,,outdoor art activity in past 12 months
attend,how often r attends religious services,,,how often r attends religious services
away1,is 1st person staying somewhere else now?,,,is 1st person staying somewhere else now?
away10,is 10th person staying somewhere else now?,,,is 10th person staying somewhere else now?
away11,is 11th person (visitor) staying elsewhere now?,,,is 11th person (visitor) staying elsewhere now?
away12,is 12th person (visitor) staying elsewhere now?,,,is 12th person (visitor) staying elsewhere now?
away13,is 13th person (visitor) staying elsewhere now?,,,is 13th person (visitor) staying elsewhere now?
away14,is 14th person (visitor) staying elsewhere now?,,,is 14th person (visitor) staying elsewhere now?
away2,is 2nd person staying somewhere else now?,,,is 2nd person staying somewhere else now?
away3,is 3rd person staying somewhere else now?,,,is 3rd person staying somewhere else now?
away4,is 4th person staying somewhere else now?,,,is 4th person staying somewhere else now?
away5,is 5th person staying somewhere else now?,,,is 5th person staying somewhere else now?
away6,is 6th person staying somewhere else now?,,,is 6th person staying somewhere else now?
away7,is 7th person staying somewhere else now?,,,is 7th person staying somewhere else now?
away8,is 8th person staying somewhere else now?,,,is 8th person staying somewhere else now?
away9,is 9th person staying somewhere else now?,,,is 9th person staying somewhere else now?
babies,household members less than 6 yrs old,,,household members less than 6 yrs old
babies_7222,household members less than 6 yrs old,,,household members less than 6 yrs old
babies_exp,kids 0-6 in hh(experimental version),,,kids 0-6 in hh(experimental version)
babies_exp_22,kids 0-6 in hh(experimental version),,,kids 0-6 in hh(experimental version)
backpain,r had back pain in the past 12 months,,,r had back pain in the past 12 months
ballot,ballot used for interview,,,ballot used for interview
bangather,govt should ban gatherings,,,govt should ban gatherings
baselinestatus,baseline sample indicator for gss 2022,,,baseline sample indicator for gss 2022
batch,sample batch,,,sample batch
betrlang,which language r speaks more fluent,,,which language r speaks more fluent
bible,feelings about the bible,,,feelings about the bible
biblenv,feelings about the bible (no volunteered response on web),,,feelings about the bible (no volunteered response on web)
biblev,feelings about the bible (with volunteered response on web),,,feelings about the bible (with volunteered response on web)
biokids,number of biological children,,,number of biological children
blkdsrv,black people get less than they deserve,,,black people get less than they deserve
blkmblty,generations of slavery make change hard for black people,,,generations of slavery make change hard for black people
blktry,black people do not try hard enough,,,black people do not try hard enough
born,was r born in this country,,,was r born in this country
brv16,death of someone close before age 16,,,death of someone close before age 16
brv16bronum,number of brother deaths,,,number of brother deaths
brv16cuznum,number of cousin deaths,,,number of cousin deaths
brv16dadnum,number of father deaths,,,number of father deaths
brv16filnum,number of father in law deaths,,,number of father in law deaths
brv16frndnum,number of friend deaths,,,number of friend deaths
brv16gmanum,number of grandmother deaths,,,number of grandmother deaths
brv16gpanum,number of grandfather deaths,,,number of grandfather deaths
brv16grand,death of grandparent,,,death of grandparent
brv16milnum,number of mother in law deaths,,,number of mother in law deaths
brv16momnum,number of mother deaths,,,number of mother deaths
brv16oth,death of someone else,,,death of someone else
brv16othnum,number of other deaths,,,number of other deaths
brv16par,death of parent,,,death of parent
brv16partnum,number of partner deaths,,,number of partner deaths
brv16sib,death of sibling,,,death of sibling
brv16silnum,number of brother-in-law or sister-in-law deaths,,,number of brother-in-law or sister-in-law deaths
brv16sisnum,number of sister deaths,,,number of sister deaths
brv16sp,death of spouse or partner,,,death of spouse or partner
brv16spnum,number of spouse deaths,,,number of spouse deaths
brv5,death of someone close in past 5 years,,,death of someone close in past 5 years
brv5bronum,number of brother deaths,,,number of brother deaths
brv5child,death of child,,,death of child
brv5chinum,number of stepchild deaths,,,number of stepchild deaths
brv5cowknum,number of coworker deaths,,,number of coworker deaths
brv5cuznum,number of cousin deaths,,,number of cousin deaths
brv5dadnum,number of father deaths,,,number of father deaths
brv5daunum,number of daughter deaths,,,number of daughter deaths
brv5filnum,number of father in law deaths,,,number of father in law deaths
brv5frndnum,number of friend deaths,,,number of friend deaths
brv5gmanum,number of grandmother deaths,,,number of grandmother deaths
brv5gpanum,number of grandfather deaths,,,number of grandfather deaths
brv5grand,death of grandparent,,,death of grandparent
brv5milnum,number of mother in law deaths,,,number of mother in law deaths
brv5momnum,number of mother deaths,,,number of mother deaths
brv5oth,death of someone else,,,death of someone else
brv5othnum,number of other deaths,,,number of other deaths
brv5par,death of parent,,,death of parent
brv5partnum,number of partner deaths,,,number of partner deaths
brv5sib,death of sibling,,,death of sibling
brv5silnum,number of brother-in-law or sister-in-law deaths,,,number of brother-in-law or sister-in-law deaths
brv5sisnum,number of sister deaths,,,number of sister deaths
brv5sonnum,number of son deaths,,,number of son deaths
brv5sp,death of spouse or partner,,,death of spouse or partner
brv5spnum,number of spouse deaths,,,number of spouse deaths
buyvalue,percent of company stock r bought from own money,,,percent of company stock r bought from own money
cabgndr,man vs woman cabinet position,,,man vs woman cabinet position
cappun,favor or oppose death penalty for murder,,,favor or oppose death penalty for murder
carecost,who should pay for costs of care for under school age child,,,who should pay for costs of care for under school age child
careprov,who should provide childcare for under school age child,,,who should provide childcare for under school age child
caresik1,who in household cares for sick in family,,,who in household cares for sick in family
childs,number of children,,,number of children
childs_exp,total children under 18 in hh (experimental verison),,,total children under 18 in hh (experimental verison)
childs_exp_22,total children under 18 in hh (experimental verison),,,total children under 18 in hh (experimental verison)
childsinhh,total children in hh (household composition version),,,total children in hh (household composition version)
childsinhh_2122,total children in hh (household composition version),,,total children in hh (household composition version)
chldidel,ideal number of children,,,ideal number of children
chngtme,how often r allowed change schedule,,,how often r allowed change schedule
class,subjective class identification,,,subjective class identification
clsrltv,who are close relatives,,,who are close relatives
codeg,partner's highest degree,,,partner's highest degree
coden,partner's denomination,,,partner's denomination
coden_1222,partner's denomination,,,partner's denomination
coeduc,"highest year school completed, partner",,,"highest year school completed, partner"
coevwork,partner ever work as long as a year,,,partner ever work as long as a year
cofund,how fundamentalist is partner's current religion,,,how fundamentalist is partner's current religion
cohabok,living together as an acceptable option,,,living together as an acceptable option
