variable,dta_variable_label,question_text,codebook_page,question_text_filled
abany,abortion if woman wants for any reason,,,abortion if woman wants for any reason
abdefect,strong chance of serious defect,,,strong chance of serious defect
abhlth,woman's health seriously endangered,,,woman's health seriously endangered
abnomore,married--wants no more children,,,married--wants no more children
abpoor,low income--cant afford more children,,,low income--cant afford more children
abrape,pregnant as result of rape,,,pregnant as result of rape
absingle,not married,,,not married
acqntsex,r had sex with acquaintance last year,,,r had sex with acquaintance last year
adforjob,advertised for a job in newspaper's,,,advertised for a job in newspaper's
adults,household members 18 yrs and older (household roster),,,household members 18 yrs and older (household roster)
advfront,sci rsch is necessary and should be supported by federal govt,,,sci rsch is necessary and should be supported by federal govt
advsched,how far in advance do you schedule work,,,how far in advance do you schedule work
affrmact,favor preference in hiring black people,,,favor preference in hiring black people
age,age of respondent,,,age of respondent
aged,should aged live with their children,,,should aged live with their children
agedchld,should grown children live with parents,,,should grown children live with parents
agedpar,should aged live with their children,,,should aged live with their children
agekdbrn,r's age when 1st child born,,,r's age when 1st child born
agekdbrn_9422,r's age when 1st child born,,,r's age when 1st child born
aidcol,gov. should assist low-income college student,,,gov. should assist low-income college student
aidhouse,gov. should provide housing to poor,,,gov. should provide housing to poor
aidindus,govts resp: assist industrial growth,,,govts resp: assist industrial growth
aidold,govts resp: provide for the elderly,,,govts resp: provide for the elderly
aidunemp,govts resp: provide for the unemployed,,,govts resp: provide for the unemployed
appemps,applied directly to employers,,,applied directly to employers
artatt,attended exhibit alone or with others,,,attended exhibit alone or with others
artatt1,attended with spouse or partner,,,attended with spouse or partner
artatt2,attended with child,,,attended with child
artatt3,attended with friend,,,attended with friend
artatt4,attended with relative,,,attended with relative
artatt5,attended with other,,,attended with other
artcost,did not go due to cost,,,did not go due to cost
artexbt,did r go to an art exhibit in last 12 months,,,did r go to an art exhibit in last 12 months
artfree,was exhibit attended free,,,was exhibit attended free
artgst,did not go because couldn't find anyone to go with,,,did not go because couldn't find anyone to go with
artint,did not go since not of interest,,,did not go since not of interest
artloc,did not want to go to that location,,,did not want to go to that location
artmostoth,most imp factor in not attending art exhibit,,,most imp factor in not attending art exhibit
artothr,other reason why did not go,,,other reason why did not go
arttime,did not go due to lack of time,,,did not go due to lack of time
arttrvl,did not go because too dificult to get there,,,did not go because too dificult to get there
artwhy1,imp of low cost in decision to attend exhibit,,,imp of low cost in decision to attend exhibit
artwhy2,imp of wanting to experience high quality art in decision to attend exhibit,,,imp of wanting to experience high quality art in decision to attend exhibit
artwhy3,imp of wanting to socialize with friends or fam in decision to attend exhibit,,,imp of wanting to socialize with friends or fam in decision to attend exhibit
artwhy4,imp of wanting to celebrate cultural heritage in decision to attend exhibit,,,imp of wanting to celebrate cultural heritage in decision to attend exhibit
artwhy5,imp of wanting to support community in decision to attend exhibit,,,imp of wanting to support community in decision to attend exhibit
artwhy6,imp of wanting to learn in decision to attend exhibit,,,imp of wanting to learn in decision to attend exhibit
artwhy7,imp of location in decision to attend exhibit,,,imp of location in decision to attend exhibit
artwhy8,was there another major reason in decision to attend exhibit,,,was there another major reason in decision to attend exhibit
artwhy9,other major reason in decision to attend,,,other major reason in decision to attend
askhelp,asked relatives friends colleagues to help,,,asked relatives friends colleagues to help
astrolgy,ever read a horoscope or personal astrology report,,,ever read a horoscope or personal astrology report
astrosci,astrology is scientific,,,astrology is scientific
attend,how often r attends religious services,,,how often r attends religious services
away1,is 1st person staying somewhere else now?,,,is 1st person staying somewhere else now?
away10,is 10th person staying somewhere else now?,,,is 10th person staying somewhere else now?
away11,is 11th person (visitor) staying elsewhere now?,,,is 11th person (visitor) staying elsewhere now?
away12,is 12th person (visitor) staying elsewhere now?,,,is 12th person (visitor) staying elsewhere now?
away13,is 13th person (visitor) staying elsewhere now?,,,is 13th person (visitor) staying elsewhere now?
away14,is 14th person (visitor) staying elsewhere now?,,,is 14th person (visitor) staying elsewhere now?
away2,is 2nd person staying somewhere else now?,,,is 2nd person staying somewhere else now?
away3,is 3rd person staying somewhere else now?,,,is 3rd person staying somewhere else now?
away4,is 4th person staying somewhere else now?,,,is 4th person staying somewhere else now?
away5,is 5th person staying somewhere else now?,,,is 5th person staying somewhere else now?
away6,is 6th person staying somewhere else now?,,,is 6th person staying somewhere else now?
away7,is 7th person staying somewhere else now?,,,is 7th person staying somewhere else now?
away8,is 8th person staying somewhere else now?,,,is 8th person staying somewhere else now?
away9,is 9th person staying somewhere else now?,,,is 9th person staying somewhere else now?
babies,household members less than 6 yrs old,,,household members less than 6 yrs old
babies_7222,household members less than 6 yrs old,,,household members less than 6 yrs old
ballot,ballot used for interview,,,ballot used for interview
ballotformwt,,,,
ballotformwtnr,,,,
balneg,sci research is strongly in favor of harmful results,,,sci research is strongly in favor of harmful results
balpos,sci research is strongly in favor of benefits,,,sci research is strongly in favor of benefits
barate,rate of ba degree earning in college respondent attended,,,rate of ba degree earning in college respondent attended
betrlang,which language r speaks more fluent,,,which language r speaks more fluent
bible,feelings about the bible,,,feelings about the bible
bigbang,sci knowledge: the universe began with a huge explosion,,,sci knowledge: the universe began with a huge explosion
bigbang1,universe began with a big explosion: true or false,,,universe began with a big explosion: true or false
bigbang2,universe expanding since it began: true or false,,,universe expanding since it began: true or false
bored,how often does r have extra time,,,how often does r have extra time
born,was r born in this country,,,was r born in this country
bossemps,quality of mgmnt-employee rels: r's firm,,,quality of mgmnt-employee rels: r's firm
boyorgrl,sci knowledge: father gene decides sex of baby,,,sci knowledge: father gene decides sex of baby
bribe,does r see public official asking for a bribe in last five years,,,does r see public official asking for a bribe in last five years
brlawfl,do private companies comply with regulations,,,do private companies comply with regulations
brnotax,do private companies avoid taxes,,,do private companies avoid taxes
cappun,favor or oppose death penalty for murder,,,favor or oppose death penalty for murder
cctv,civil liberties - video surveillance,,,civil liberties - video surveillance
cesd1,how much time felt depressed in past wk,,,how much time felt depressed in past wk
cesd2,how much time sleep was restless in past wk,,,how much time sleep was restless in past wk
cesd3,how much time felt happy in past wk,,,how much time felt happy in past wk
cesd4,how much time felt lonely in past wk,,,how much time felt lonely in past wk
cesd5,how much time felt sad in past wk,,,how much time felt sad in past wk
chemgen,pesticides danger to envir,,,pesticides danger to envir
childs,number of children,,,number of children
chldidel,ideal number of children,,,ideal number of children
chngewrk,i would change my work for something different,,,i would change my work for something different
class,subjective class identification,,,subjective class identification
closeblk,how close r feels to black people,,,how close r feels to black people
closewht,how close feel to whites,,,how close feel to whites
clssmtes,use clssmtes,,,use clssmtes
cobarate,rate of ba degree earning at college partner attended,,,rate of ba degree earning at college partner attended
codeg,partner's highest degree,,,partner's highest degree
coden,partner's denomination,,,partner's denomination
coden_1222,partner's denomination,,,partner's denomination
codipged,"partner diploma, ged, or other",,,"partner diploma, ged, or other"
coeduc,"highest year school completed, partner",,,"highest year school completed, partner"
coeftotlt,total number of students enrolled at college partner attended,,,total number of students enrolled at college partner attended
coevwork,partner ever work as long as a year,,,partner ever work as long as a year
cofund,how fundamentalist is partner's current religion,,,how fundamentalist is partner's current religion
cogradtounder,ratio of graduate to undergraduate students at college partner attended,,,ratio of graduate to undergraduate students at college partner attended
cohort,year of birth,,,year of birth
cohrs1,number of hours partner worked last week,,,number of hours partner worked last week
cohrs2,no. of hours partner usually works a week,,,no. of hours partner usually works a week
coind10,partner's industry code (2010),,,partner's industry code (2010)
coisco08,"partner's occupation, 2010 census & 2008 isco code",,,"partner's occupation, 2010 census & 2008 isco code"
cojew,what sort of jew is r's partner currently,,,what sort of jew is r's partner currently
colath,allow anti-religionist to teach,,,allow anti-religionist to teach
colcom,should communist teacher be fired,,,should communist teacher be fired
coldeg1,the highest degree r have earned,,,the highest degree r have earned
colhomo,allow homosexual to teach,,,allow homosexual to teach
colmil,allow militarist to teach,,,allow militarist to teach
colmslm,allow anti-american muslim clergymen teaching in college,,,allow anti-american muslim clergymen teaching in college
colrac,allow racist to teach,,,allow racist to teach
colsci,r has taken any college-level sci course,,,r has taken any college-level sci course
colscinm,number of college-level sci courses r have taken,,,number of college-level sci courses r have taken
comprend,r's understanding of questions,,,r's understanding of questions
compuse,r use computer,,,r use computer
conarmy,confidence in military,,,confidence in military
conbus,confidence in major companies,,,confidence in major companies
conclerg,confidence in organized religion,,,confidence in organized religion
condom,used condom last time,,,used condom last time
condrift,sci knowledge: the continents have been moving,,,sci knowledge: the continents have been moving
coneduc,confidence in education,,,confidence in education
confed,confid. in exec branch of fed govt,,,confid. in exec branch of fed govt
confinan,confid in banks & financial institutions,,,confid in banks & financial institutions
coninc,family income in constant dollars,,,family income in constant dollars
conjudge,confid. in united states supreme court,,,confid. in united states supreme court
conlabor,confidence in organized labor,,,confidence in organized labor
conlegis,confidence in congress,,,confidence in congress
conmedic,confidence in medicine,,,confidence in medicine
conpress,confidence in press,,,confidence in press
