variable,question_text
RESPNO,Respondent number
COUNTRY,Country
COUNTRY_R5List,Country in R5 Alphabetical Order | Country
COUNTRY.BY.REGION,Country by Region
URBRUR,Urban or Rural Primary Sampling Unit | PSU/EA
REGION,Province or region | Region/Province
LOCATION.LEVEL.1,Location Level 1
EA_SVC_A,EA-SVC-A. Electricity grid in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Electricity grid that most houses could access?
EA_SVC_B,EA-SVC-B. Piped water system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Piped water system that most houses could access?
EA_SVC_C,EA-SVC-C. Sewage system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Sewage system that most houses could access?
EA_SVC_D,EA-SVC-D. Cell phone service in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Cell phone service?
EA_FAC_A,"EA-FAC-A. Post office in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Post-office?"
EA_FAC_B,"EA-FAC-B. School in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: School?"
EA_FAC_C,"EA-FAC-C. Police station in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Police station?"
EA_FAC_D,"EA-FAC-D. Health Clinic in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Health clinic?"
EA_FAC_E,"EA-FAC-E. Market stalls in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Market stalls (selling groceries and/or clothing)?"
EA_FAC_F,"BEA-FAC-F. Bank in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Bank?"
EA_FAC_G,"EA-FAC-E. Paid transport in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Is there any kind of paid transport, such as a bus, taxi, moped, or other form, available on a daily basis?"
EA_SEC_A,"EA-SEC-A. Police in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any policemen or police vehicles?"
EA_SEC_B,"EA-SEC-B. Soldiers/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any soldiers or army vehicles?"
EA_SEC_C,"EA-SEC-C. Roadblocks by police/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks set up by police or army?"
EA_SEC_D,"EA_SEC_D.Customs checkpoints in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any customs checkpoints?"
EA_SEC_E,"EA_SEC_E. Roadblocks by local community in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks or booms set up by the local community?"
EA_ROAD_A,EA_ROAD_A.Tarred/paved road | Thinking of your journey here: Was the road at the start point in the PSU/EA paved/ tarred/ concrete?
EA_ROAD_B,"EA_ROAD_B. Impassible Road | Thinking of your journey here: Was the road to this EA impassible at any point, for example, due to absence of a bridge or a collapsed bridge, broken down vehicle, fallen tree or water-logged section??"
NOCALL_1,Reason for Unsuccessful Call Household 1 | Reasons for unsuccessful calls: Household 1
NOCALL_1OTHER,Reason for Unsuccessful Call Household 1 (verbatim)
NOCALL_2,Reason for Unsuccessful Call Household 2 | Reasons for unsuccessful calls: Household 2
NOCALL_2OTHER,Reason for Unsuccessful Call Household 2 (Verbatim)
NOCALL_3,Reason for Unsuccessful Call Household 3 | Reasons for unsuccessful calls: Household 3
NOCALL_3OTHER,Reason for Unsuccessful Call Household 3 (verbatim)
NOCALL_4,Reason for Unsuccessful Call Household 4 | Reasons for unsuccessful calls: Household 4
NOCALL_4OTHER,Reason for Unsuccessful Call Household 4 (verbatim)
NOCALL_5,Reason for Unsuccessful Call Household 5 | Reasons for unsuccessful calls: Household 5
NOCALL_5OTHER,Reason for Unsuccessful Call Household 5 (verbatim)
NOCALL_6,Reason for Unsuccessful Call Household 6 | Reasons for unsuccessful calls: Household 6
NOCALL_7,Reason for Unsuccessful Call Household 7 | Reasons for unsuccessful calls: Household 7
PREVINT,"Previous interview, gender | Previous interview was with a:"
THISINT,"This interview, gender | This interview must be with a:"
ADULT_CT,Number of adults in household | Total number of adult citizens in household
CALLS,Number of calls | How many calls were made to the household where the interview actually took place?
DATEINTR,Date of interview
STRTIME,Time interview started
Q1,Q1. Age | How old are you?
