variable,question_text
Q2,Q2. Language of respondent | Which language is your home language?
Q2OTHER,Q2other. Language of respondent (verbatim)
Q3,Q3. Overall direction of the country | Let's start with your general view about the current direction of our country. Some people might think the country is going in the wrong direction. Others may feel it is going in the right direction. So let me ask YOU about the overall direction of the country: Would you say that the country is going in the wrong direction or going in the right direction?
Q4A,"Q4A. Country’s present economic condition | In general, how would you describe: The present economic condition of this country?"
Q4B,"Q4B. Your present living conditions | In general, how would you describe: Your own present living conditions?"
Q5,"Q5. Your living conditions vs. others | In general, how do you rate your living conditions compared to those of other [ENTER NATIONALITY]?"
Q6,"Q6. Country's economic condition compared to 12 months ago | Looking back, how do you rate economic conditions in this country compared to twelve months ago?"
Q7,"Q7. Country's economic condition in 12 months time | Looking ahead, do you expect economic conditions in this country to be better or worse in twelve months time?"
Q8A,"Q8a. How often gone without food | Over the past year, how often, if ever, have you or anyone in your family: Gone without enough food to eat? 12"
Q8B,"Q8b. How often gone without water | Over the past year, how often, if ever, have you or anyone in your family: Gone without enough clean water for home use?"
Q8C,"Q8c.How often gone without medical care | Over the past year, how often, if ever, have you or anyone in your family: Gone without medicines or medical treatment?"
Q8D,"Q8d. How often gone without cooking fuel | Over the past year, how often, if ever, have you or anyone in your family: Gone without enough fuel to cook your food?"
Q8E,"Q8e. How often gone without a cash income | Over the past year, how often, if ever, have you or anyone in your family: Gone without a cash income?"
Q8F,Q8f. Frequency going without food | When you say you went without [insert item] [insert frequency] would you say this occurred:
Q9,"Q9. How often received remittances | How often, if at all, do you or anyone in your household receive money remittances from friends or relatives living outside of the country?"
Q10A,"Q10a. How often felt unsafe walking in neighbourhood | Over the past year, how often, if ever, have you or anyone in your family: Felt unsafe walking in your neighborhood?"
Q10B,"Q10b. How often feared crime in home | Over the past year, how often, if ever, have you or anyone in your family: Feared crime in your own home?"
Q11A,"Q11a. Had something stolen from your house | During the past year, have you or anyone in your family: Had something stolen from your house?"
Q11B,"Q11b. Have been physically attacked | During the past year, have you or anyone in your family: Been physically attacked?"
Q12A,Q12a. Radio news | How often do you get news from the following sources: Radio?
Q12B,Q12b. Television news | How often do you get news from the following sources: Television?
Q12C,Q12c. Newspaper news | How often do you get news from the following sources: Newspapers?
Q12D,Q12d. Internet | How often do you get news from the following sources: Internet?
Q12E,Q12e.Social media | How often do you get news from the following sources: Social media such as Facebook or Twitter?
Q13,Q13. Interest in public affairs | How interested would you say you are in public affairs?
Q14,"Q14. Discuss politics | When you get together with your friends or family, would you say you discuss political matters:"
Q15A,"Q15a. Freedom to say what you think | In this country, how free are you: To say what you think?"
Q15B,"Q15b. Freedom to join any political organizations | In this country, how free are you: To join any political organization you want?"
Q15C,"Q15c. Freedom to choose who to vote for | In this country, how free are you: To choose who to vote for without feeling pressured"
Q16,"Q16. Government bans organization vs. join any | Which of the following statements is closest to your view? Choose Statement 1or Statement 2. Statement 1: Government should be able to ban any organization that goes against its policies. Statement 2: We should be able to join any organization, whether or not the government approves of it."
Q17,Q17. Newspapers free to publish vs. government control | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The media should have the right to publish any views and ideas without government control. Statement 2: The government should have the right to prevent the media from publishing things that it consider harmful to society.
Q18,"Q18. Men only as leaders vs. women leaders OK | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Men make better political leaders than women, and should be elected rather than women. Statement 2: Women should have the same chance of being elected to political office as men."
Q19A,"Q19a. Member of religious group | Let’s turn to your role in the community. Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are an official leader, an active member, an inactive member, or not a member: A religious group that meets outside of regular worship services?"
Q19B,"Q19b. Member of voluntary association or community group | Let’s turn to your role in the community. Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are an official leader, an active member, an inactive member, or not a member: Some other voluntary association or community group?"
Q20A,"Q20a. Attend a community meeting | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Attended a community meeting?"
Q20B,"Q20b. Join the others to raise an issue | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Got together with others to raise an issue?"
Q21,"Q21. Voting in the most recent national election | Understanding that some people were unable to vote in the most recent national election in [20xx], which of the following statements is true for you?"
Q22,"Q22. Freeness and fairness of the last national election | On the whole, how would you rate the freeness and fairness of the last national election, held in [20xx]. Was it:"
Q23A,"Q23a. Last national election: attend a campaign rally | Thinking about the last national election in [20xx], did you: Attend a campaign rally?"
Q23B,"Q23b. Last national election: Attend a campaign meeting? | Thinking about the last national election in [20xx], did you: Attend a meeting with a candidate or campaign staff?"
Q23C,"Q23c. Last national election: persuade others to vote for a certain candidate or party | Thinking about the last national election in [20xx], did you: Try to persuade others to vote for a certain presidential or legislative candidate or political party?"
Q23D,"Q23d. Last national election: work for a candidate or party | Thinking about the last national election in [20xx], did you: Work for a candidate or party?"
Q24A,"Q24a. Contact local government councilor | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A local government councilor?"
Q24B,"Q24b. Contact MP | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A Member of Parliament?"
Q24C,"Q24c. Contact official of a government agency | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: An official of a government agency?"
Q24D,"Q24d. Contact political party official | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A political party official? 18"
Q24E,"Q24e. Contact traditional leader | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: Traditional Leaders?"
Q24F,"Q24f. Contact religious leader | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: Religious Leaders?"
Q25A,Q25a. Contacting alone or in group | Thinking of the last time you contacted any of these leaders. Did you go: Alone or with a group?
Q25B,Q25b. Contacting for community or personal problem | Thinking of the last time you contacted any of these leaders. Did you go: To discuss a community problem or a personal problem?
Q26A,"Q26a. Citizens vote | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Vote in elections"
Q26B,"Q26b. Citizens avoid criticizing government | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Avoid criticizing the government"
Q26C,"Q26c. Citizens complain for poor services | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Complain to government officials when public services are of poor quality"
Q26D,"Q26d. Citizens request personal assistance from elected leaders | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Request personal assistance like help with school fees or funeral expenses from elected leaders"
Q26E,"Q26e. Citizens pay taxes | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Pay taxes they owe to government"
Q26F,"Q26f. Citizens agree with community on political issues. | For each of the following actions, please tell me whether you think it is something a good -citizen in a democracy should always do, never do, or do only if they choose: Agree with the majority of people in his or her community on political issues."
Q27A,"Q27a. Join others to request government action | Here is a list of actions that people sometimes take as citizens when they are dissatisfied with government performance. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Joined others in your community to request action from government"
Q27B,"Q27b. Contact media | Here is a list of actions that people sometimes take as citizens when they are dissatisfied with government performance. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Contacted the media, like calling a radio program or writing a letter to a newspaper"
Q27C,"Q27c. Contact official for help | Here is a list of actions that people sometimes take as citizens when they are dissatisfied with government performance. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Contacted a government official to ask for help or make a complaint"
Q27D,"Q27d. Refuse to pay a tax or fee to government | Here is a list of actions that people sometimes take as citizens when they are dissatisfied with government performance. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Refused to pay a tax or fee to government"
Q27E,Q27e. Attend a demonstration or protest march
Q28A,Q28a. Reject one-party rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: Only one political party is allowed to stand for election and hold office?
Q28B,Q28b. Reject military rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: The army comes in to govern the country? 21
Q28C,Q28c.Reject one-man rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: Elections and Parliament are abolished so that the president can decide everything?
Q28D_NAF,Q28d_NAF. A system governed by Islamic law without elections or political parties
Q29A,"Q29a. Understand democracy | What, if anything, does “democracy” mean to you?"
Q29B,"Q29b. Democracy- 1st response (verbatim) | What, if anything, does “democracy: mean to you? First verbatim response"
Q29C,"Q29c. Democracy- 2nd response (verbatim) | What, if anything, does “democracy: mean to you? Second verbatim response"
Q29D,"Q29d. Democracy- 3rd response (verbatim) | What, if anything, does “democracy: mean to you? Third verbatim response 22"
Q29E,"Q29e. Democracy- 1st response (code) | What, if anything, does “democracy: mean to you? First verbatim response"
Q29F,"Q29f. Democracy- 2nd response (code) | What, if anything, does “democracy: mean to you? Second verbatim response"
Q29G,"Q29g. Democracy- 3rd response (code) | What, if anything, does “democracy: mean to you? Third verbatim response"
Q30,"Q30. Support for democracy | Which of these three statements is closest to your own opinion? Statement 1: Democracy is preferable to any other kind of government. Statement 2: In some circumstances, a non-democratic government can be preferable. Statement 3: For someone like me, it doesn’t matter what kind of government we have."
Q31,"Q31. Government gets things done but no citizen influence vs. government accountable to citizens Values: 1-5, 9, 98, -1 | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly."
Q32,"Q32. Choose leaders through elections vs. other methods | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: We should choose our leaders in this country through regular, open and honest elections. Statement 2: Since elections sometimes produce bad results, we should adopt other methods for choosing this country’s leaders."
Q33,Q33. Political parties divisive vs. many parties needed | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Political parties create division and confusion; it is therefore unnecessary to have many political parties in [ENTER COUNTRY]. Statement 2: Many political parties are needed to make sure that [ENTER NATIONALITY] have real choices in who governs them.
Q34,Q34. President monitored by parliament vs. free to act on own | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his government spends taxpayers’ money. Statement 2: The President should be able to devote his full attention to developing the country rather than wasting time justifying his actions.
Q35,"Q35. Opposition parties examine government vs. cooperate | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: After losing an election, opposition parties should monitor and criticize the government in order to hold it accountable. Statement 2: Once an election is over, opposition parties and politicians should accept defeat and cooperate with government to help it develop the country."
Q36,"Q36. Media checks government vs. avoid negative reporting | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: The news media should constantly investigate and report on government mistakes and corruption. Statement 2: Too much reporting on negative events, like government mistakes and corruption, only harms the country."
Q37,"Q37. Parliament makes laws vs. president does | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. Statement 2: Since the President represents all of us, he should pass laws without worrying about what Parliament thinks."
Q38,"Q38. President free to act vs. obey the laws and courts | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. Statement 2: The President must always obey the laws and the courts, even if he thinks they are wrong."
Q39,Q39. Presidential two term limit vs. no term limits | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: The Constitution should limit the president to serving a maximum of two terms in office. Statement 2: There should be no constitutional limit on how long the president can serve.
Q39_NAF_A,Q39_NAF_a. Democracy is a system that contradicts the teachings of Islam
Q39_NAF_B,"Q39_NAF_b. In a Muslim country, non-Muslims should enjoy less political rights than Muslims."
Q39_NAF_C,"Q39_NAF_c. Religious leaders like imams, preachers and priests should not interfere in voters' decisions in elections"
Q39_NAF_D,Q39_NAF_d. Our country is better off if religious people hold public positions in the state.
Q40,Q40. Extent of democracy | In your opinion how much of a democracy is [ENTER COUNTRY] today?
Q41,"Q41. Satisfaction with democracy | Overall, how satisfied are you with the way democracy works in [ENTER COUNTRY]? Are you:"
Q42A,"Q42a. Courts make binding decisions | For each of the following statements, please tell me whether you disagree or agree: The courts have the right to make decisions that people always have to abide by."
Q42B,"Q42b. People must obey the law | For each of the following statements, please tell me whether you disagree or agree: The police always have the right to make people obey the law."
Q42C,"Q42c. People must pay taxes | For each of the following statements, please tell me whether you disagree or agree: The tax authorities always have the right to make people pay taxes."
Q43,"Q43. Obey government always vs. only if vote for it | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is important to obey the government in power, no matter who you voted for. Statement 2: It is not necessary to obey the laws of a government that you did not vote for."
Q44,Q44. Citizens must pay taxes vs. no need to tax the people | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Citizens must pay their taxes to the government in order for our country to develop. Statement 2: The government can find enough resources for development from other sources without having to tax the people.
Q45A,"Q45a. How often news media abuse their freedom | In your opinion, how often, in this country: Does the news media abuse its freedoms by printing or saying things it knows are not true?"
Q45B,"Q45b. How often party competition leads to conflict | In your opinion, how often, in this country: Does competition between political parties lead to violent conflict?"
Q45C,"Q45c. how often president ignores laws | In your opinion, how often, in this country: Does the President ignore the courts and laws of the country?"
Q45D,"Q45d. How often opposition parties silenced by government | In your opinion, how often, in this country: Are opposition parties or their supporters silenced by the government?"
Q45E,"Q45e. How often president ignore parliament | In your opinion, how often, in this country: Does the President ignore parliament and just do what he wants?"
Q46,"Q46. How effective the news media reveals government mistakes and corruption | In this country, how effective is the news media in revealing government mistakes and corruption?"
Q47A,Q47a. Elections ensure voters' views are reflected | Think about how elections work in practice in this country. How well do elections: Ensure that the Representatives to the National Assembly reflect the views of voters.
Q47B,Q47b. Elections enable voters to remove leaders from office | Think about how elections work in practice in this country. How well do elections: Enable voters to remove from office leaders who do not do what the people want.
Q48A,"Q48a. Elections: fair count of votes | In your opinion, how often do the following things occur in this country’s elections: Votes are counted fairly"
Q48B,"Q48b. Elections: opposition prevented from running | In your opinion, how often do the following things occur in this country’s elections: Opposition candidates are prevented from running for office"
Q48C,"Q48c. Elections: fair media coverage | In your opinion, how often do the following things occur in this country’s elections: The media provides fair coverage of all candidates 29"
Q48D,"Q48d. Elections: voters are bribed | In your opinion, how often do the following things occur in this country’s elections: Voters are bribed"
Q48E,"Q48e. Elections: voters have genuine choice | In your opinion, how often do the following things occur in this country’s elections: Voters are offered a genuine choice in the elections"
Q48F,"Q48f. Elections: voters threatened | In your opinion, how often do the following things occur in this country’s elections: Voters are threatened with violence at the polls"
Q49,"Q49. How much fear political intimidation or violence | During election campaigns in this country, how much do you personally fear becoming a victim of political intimidation or violence?"
Q50,"Q50. Leaders serve interests of people or their own | Do you think that the leaders of political parties in this country are more concerned with serving the interests of the people, or more concerned with advancing their own political ambitions, or haven’t you heard enough to say?"
Q51A,"Q51a. How often careful what you say | In your opinion, how often, in this country: do people have to be careful of what they say about politics?"
Q51B,"Q51b. How often people treated unequally | In your opinion, how often, in this country: Are people treated unequally under the law?"
Q51C,"Q51c. How often officials unpunished | In your opinion, how often, in this country: Do officials who commit crimes go unpunished?"
Q51D,"Q51d. How often ordinary people unpunished | In your opinion, how often, in this country: Do ordinary people who break the law go unpunished?"
Q52A,"Q52a. Trust president | How much do you trust each of the following, or haven’t you heard enough about them to say: The President?"
Q52B,"Q52b. Trust parliament/national assembly | How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?"
Q52C,"Q52c. Trust national electoral commission | How much do you trust each of the following, or haven’t you heard enough about them to say: The Electoral Commission of [ENTER COUNTRY]?"
Q52D,"Q52d. Trust tax department | How much do you trust each of the following, or haven’t you heard enough about them to say: The [Tax Department]?"
Q52E,"Q52e. Trust your elected local government council | How much do you trust each of the following, or haven’t you heard enough about them to say: Your Metropolitan, Municipal or District Assembly?"
Q52F,"Q52f. Trust the ruling party | How much do you trust each of the following, or haven’t you heard enough about them to say: The Ruling Party?"
Q52G,"Q52g. Trust opposition political parties | How much do you trust each of the following, or haven’t you heard enough about them to say: Opposition Political Parties?"
Q52H,"Q52h. Trust police | How much do you trust each of the following, or haven’t you heard enough about them to say: The Police?"
Q52I,"Q52i. Trust army | How much do you trust each of the following, or haven’t you heard enough about them to say: The army?"
Q52J,"Q52j. Trust courts of law | How much do you trust each of the following, or haven’t you heard enough about them to say: Courts of law?"
Q52K,"Q52k. Trust traditional leaders | How much do you trust each of the following, or haven’t you heard enough about them to say: Traditional leaders"
Q52L,"Q52l. Trust religious leaders | How much do you trust each of the following, or haven’t you heard enough about them to say: Religious leaders"
Q53A,"Q53a. Corruption: office of the Presidency | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: The President and Officials in his Office?"
Q53B,"Q53b. Corruption: Members of Parliament | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Members of Parliament?"
Q53C,"Q53c. Corruption: government officials | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Government Officials?"
Q53D,"Q53d. Corruption: local government councilors | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Local government councilors?"
Q53E,"Q53e. Corruption: police | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Police?"
Q53F,"Q53f. Corruption: tax officials | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Tax Officials (e.g. Ministry of Finance officials or Local Government tax collectors)"
Q53G,"Q53g. Corruption: judges and magistrates | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Judges and Magistrates?"
Q53H,"Q53h. Corruption: Traditional leaders | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Traditional Leaders?"
Q53I,"Q53i. Corruption: Religious leaders | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Religious Leaders?"
Q53J,"Q53j. Corruption: business executives | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Business Executives?"
Q54,"Q54. Level of corruption | In your opinion, over the past year, has the level of corruption in this country increased, decreased, or stayed the same?"
Q55A,Q55a. Difficulty to obtain public school services | In the past 12 months have you had contact with a public school? [If yes] How easy or difficult was it to obtain the services you needed from teachers or school officials?
Q55B,"Q55b. Pay bribe for public school services | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a teacher or school official in order to get the services you needed from the schools?"
Q55C,Q55c. Difficulty to obtain medical treatment | In the past 12 months have you had contact with a public clinic or hospital? [If yes] How easy or difficult was it to obtain the medical care you needed?
Q55D,"Q55d. Pay bribe for treatment at public clinic or hospital | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care you needed?"
Q55E,"Q55e. Difficulty to obtain identity document | In the past 12 months have you tried to get an identity document like a birth certificate, driver’s license, passport or voter’s card, or a permit, from government? [If yes] How easy or difficult was it to obtain the document you needed?"
Q55F,"Q55f. Pay bribe for document or permit | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?"
Q55G,"Q55g. Difficulty to obtain household services | In the past 12 months have you tried to get water, sanitation or electric services from government? [If yes] How easy or difficult was it to obtain the document you needed?"
Q55H,"Q55h. Pay bribe for water or sanitation services | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?"
Q55I,Q55i. Difficulty to obtain help from the police | In the past 12 months have you requested assistance from the police? [If yes] How easy or difficult was it to obtain the assistance you needed?
Q55J,"Q55j. Pay bribe to avoid problem with police | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a police officer in order to get the assistance you needed, or to avoid a problem like passing a checkpoint or avoiding a fine or arrest?"
Q55K,Q55k. Difficulty to obtain assistance from courts | In the past 12 months have you had contact with the courts? [If yes] How easy or difficult was it to obtain the assistance you needed from the courts?
Q55L,"Q55l. Pay bribe to get assistance from courts | In the past 12 months have you had contact with the courts? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a judge or court official in order to get the assistance you needed from the courts?"
Q56,"Q56. Reported payment of bribes to government | If you ever paid a bribe for any of the services discussed above, did you report any of the incidents you mentioned to a government official or someone in authority?"
Q57A,Q57a. Bribery: authorities took action | [If yes on 56] Which of the following happened the most recent time that you reported a bribery incident? Authorities took action against the government officials involved.
Q57B,Q57b. Bribery: suffered retaliation | [If yes on 56] Which of the following happened the most recent time that you reported a bribery incident? You suffered retaliation or other negative consequences as a result of reporting the incident.
Q58,"Q58. Main reason for not reporting corruption | Q58. Some people say that many incidents of corruption are never reported. Based on your experience, what do you think is the main reason why many people do not report corruption when it occurs?"
Q58OTHER,Q58other. Main reason for not reporting corruption (verbatim)
Q59A,Q59a. MPs listen | How much of the time do you think the following try their best to listen to what people like you have to say: Members of Parliament?
Q59B,Q59b. Local government councilors listen | How much of the time do you think the following try their best to listen to what people like you have to say: Local government councilors?
Q60PT1,"Q60pt1. Most important problems – 1st response | In your opinion, what are the most important problems facing this country that government should address?"
Q60PT1OTHER,Q60pt1other. MIP - 1st response (verbatim)
Q60PT2,"Q60pt2. Most important problems – 2nd response | In your opinion, what are the most important problems facing this country that government should address?"
Q60PT2OTHER,Q60pt2other. MIP - 2nd response (verbatim)
Q60PT3,"Q60pt3. Most important problems – 3rd response | In your opinion, what are the most important problems facing this country that government should address?"
Q60PT3OTHER,Q60pt3other. MIP - 3rd response (verbatim)
Q61A,"Q61a. Handling first problem | Thinking of the problem you mentioned first, in your opinion, how well or badly would you say the current government is handling this problem, or haven’t you heard enough to say?"
Q61B,"Q61b. Other political party could solve this problem | In your opinion, is there any other political party that could do a better job in solving this problem?"
Q62,Q62. Main difference between ruling and opposition parties | Which of the following do you see as the most important difference between the ruling party and opposition parties in [ENTER COUNTRY]?
Q63A,"Q63a. Ruling vs. opposition: controlling prices | Looking at the ruling and opposition political parties in this country, which would you say is most able to address each of the following matters, or haven’t you heard enough to say? Controlling prices"
Q63B,"Q63b. Ruling vs. opposition: creating jobs | Looking at the ruling and opposition political parties in this country, which would you say is most able to address each of the following matters, or haven’t you heard enough to say? Creating jobs"
Q63C,"Q63c. Ruling vs. opposition: Improving basic health services | Looking at the ruling and opposition political parties in this country, which would you say is most able to address each of the following matters, or haven’t you heard enough to say? Improving basic health services"
Q63D,"Q63d. Ruling vs. opposition: Fighting corruption in government | Looking at the ruling and opposition political parties in this country, which would you say is most able to address each of the following matters, or haven’t you heard enough to say? Fighting corruption in government"
Q64,Q64. Political opposition is viable alternative | Please tell me whether you agree or disagree with the following statement: The political opposition in [ENTER COUNTRY] presents a viable alternative vision and plan for the country.
Q65A,"Q65a. First priority for investment | If the government of this country could increase its spending, which of the following areas do you think should be the top priority for additional investment? [Read out options]"
Q65B,Q65b. Second priority for investment | And which would be your second priority?
Q65C,"Q65c. Pay more taxes to increase health spending | If the government decided to make people pay more taxes or user fees in order to increase spending on public health care, would you support this decision or oppose it?"
Q66A,"Q66a. Handling managing the economy | Now let’s speak about the present government of this country. How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Managing the economy?"
Q66B,"Q66b. Handling improving living standards of the poor | Now let’s speak about the present government of this country. How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Improving the living standards of the poor."
Q66C,"Q66c. Handling creating jobs | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Creating jobs?"
Q66D,"Q66d. Handling keeping prices down | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Keeping prices down?"
