variable,question_text
NOCALL_5,Reason for Unsuccessful Call Household 5 | Reasons for unsuccessful calls: Household 5
NOCALL_5OTHER,Reason for Unsuccessful Call Household 5 (Verbatim)
NOCALL_6,Reason for Unsuccessful Call Household 6 | Reasons for unsuccessful calls: Household 6
NOCALL_6OTHER,Reason for Unsuccessful Call Household 6 (Verbatim)
NOCALL_7,Reason for Unsuccessful Call Household 7 | Reasons for unsuccessful calls: Household 7
NOCALL_7OTHER,Reason for Unsuccessful Call Household 7 (Verbatim)
NOCALL_8,Reason for Unsuccessful Call Household 8 | Reasons for unsuccessful calls: Household 8
NOCALL_8OTHER,Reason for Unsuccessful Call Household 8 (Verbatim)
NOCALL_9,Reason for Unsuccessful Call Household 9 | Reasons for unsuccessful calls: Household 9
NOCALL_10,Reason for Unsuccessful Call Household 10 | Reasons for unsuccessful calls: Household 10
NOCALL_11,Reason for Unsuccessful Call Household 11 | Reasons for unsuccessful calls: Household 11
NOCALL_12,Reason for Unsuccessful Call Household 12 | Reasons for unsuccessful calls: Household 12
NOCALL_13,Reason for Unsuccessful Call Household 13 | Reasons for unsuccessful calls: Household 13
NOCALL_14,Reason for Unsuccessful Call Household 14 | Reasons for unsuccessful calls: Household 14
NOCALL_15,Reason for Unsuccessful Call Household 15 | Reasons for unsuccessful calls: Household 15
NOCALL_16,Reason for Unsuccessful Call Household 16 | Reasons for unsuccessful calls: Household 16
NOCALL_17,Reason for Unsuccessful Call Household 17 | Reasons for unsuccessful calls: Household 17
NOCALL_18,Reason for Unsuccessful Call Household 18 | Reasons for unsuccessful calls: Household 18
NOCALL_19,Reason for Unsuccessful Call Household 19 | Reasons for unsuccessful calls: Household 19
NOCALL_20,Reason for Unsuccessful Call Household 20 | Reasons for unsuccessful calls: Household 20
PREVINT,"Previous interview, gender"
THISINT,"This interview, gender"
DATEINTR,Date of interview
STRTIME,Time interview started
Q1,Q1. Age | How old are you?
Q2,Q2. Language spoken in home | What is the primary language you speak in your home now?
Q2OTHER,Q2other. Language spoken in home (verbatim) | What is the primary language you speak in your home now?
Q3,Q3. Overall direction of the country | Let's start with your general view about the current direction of our country. Some people might think the country is going in the wrong direction. Others may feel it is going in the right direction. So let me ask YOU about the overall direction of the country: Would you say that the country is going in the wrong direction or going in the right direction?
Q4A,"Q4a. Country’s present economic condition | In general, how would you describe: The present economic condition of this country?"
Q4B,"Q4b. Your present living conditions | In general, how would you describe: Your own present living conditions?"
Q5,"Q5. Treated unfairly by government based on economic status. | How often, if ever, are people like you treated unfairly by the government based on your economic status, that is, how rich or poor you are?"
Q6A,"Q6a. Country's economic condition compared to 12 months ago | Looking back, how do you rate economic conditions in this country compared to twelve months ago?"
Q6B,"Q6b. Country's economic condition in 12 months’ time | Looking ahead, do you expect economic conditions in this country to be better or worse in twelve months’ time?"
Q7A,"Q7a. How often gone without food | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough food to eat?"
Q7B,"Q7b. How often gone without water | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough clean water for home use?"
Q7C,"Q7c. How often gone without medical care | Over the past year, how often, if ever, have you or anyone in your family gone without: Medicines or medical treatment?"
Q7D,"Q7d. How often gone without cooking fuel | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough fuel to cook your food?"
Q7E,"Q7e. How often gone without a cash income | Over the past year, how often, if ever, have you or anyone in your family gone without: A cash income?"
Q8A,"Q8a. How often felt unsafe walking in neighbourhood | Over the past year, how often, if ever, have you or anyone in your family: Felt unsafe walking in your neighbourhood?"
Q8B,"Q8b. How often feared crime in home | Over the past year, how often, if ever, have you or anyone in your family: Feared crime in your own home?"
Q9,"Q9. Discuss politics | When you get together with your friends or family, would you say you discuss political matters:"
Q10A,"Q10a. Freedom to say what you think | In this country, how free are you: To say what you think?"
Q10B,"Q10b. Freedom to join political organization | In this country, how free are you: To join any political organization you want?"
Q10C,"Q10c. Freedom to choose who to vote for without pressure | In this country, how free are you: To choose who to vote for without feeling pressured?"
Q11A,"Q11a. Attend a community meeting | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Attended a community meeting?"
Q11B,"Q11b. Join others to raise an issue | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Got together with others to raise an issue?"
Q11C,Q11c. Attend a demonstration or protest march
Q12A,"Q12a. Contact local government councilor | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A local government councilor?"
Q12B,"Q12b. Contact MP | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A member of [Parliament]?"
Q12C,"Q12c. Contact political party official | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A political party official?"
Q12D,"Q12d. Contact traditional leader | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A traditional leader?"
Q13,"Q13. Voting in the most recent national election. | Let’s talk about the last national election held in [20xx]. People are not always able to vote in elections, for example, because they weren’t registered, they were unable to go, or someone prevented them from voting. How about you? In the last national election held in [20xx], did you vote, or not, or were you too young to vote? Or can’t you remember whether you voted?"
Q14,"Q14. Freeness and fairness of the last national election | On the whole, how would you rate the freeness and fairness of the last national election, held in [20xx]. Was it:"
Q15A,Q15a. Last national election: attend a campaign rally | Thinking about the last national election in [20xx]: Did you attend a campaign rally?
Q15B,Q15b. Last national election: work for a candidate or party | Thinking about the last national election in [20xx]: Did you work for a candidate or party?
Q15C,Q15c. Last national election: contacted by representatives of political party | Thinking about the last national election in [20xx]: Did any representative of a political party contact you during the campaign?
Q15D_1,"Q15d. Which parties contacted? 1st response | If someone from a political party contacted you, which party were they from?"
Q15D_2,"Q15d. Which parties contacted? 2nd response | If someone from a political party contacted you, which party were they from?"
Q15D_3,"Q15d. Which parties contacted? 3rd response | If someone from a political party contacted you, which party were they from?"
Q15D_4,"Q15d. Which parties contacted? 4th response | If someone from a political party contacted you, which party were they from?"
Q15D_5,"Q15d. Which parties contacted? 5th response | If someone from a political party contacted you, which party were they from?"
Q15D_6,"Q15d. Which parties contacted? 6th response | If someone from a political party contacted you, which party were they from?"
Q15D_7,"Q15d. Which parties contacted? 7th response | If someone from a political party contacted you, which party were they from?"
Q15D_8,"Q15d. Which parties contacted? 8th response | If someone from a political party contacted you, which party were they from?"
Q15D_9,"Q15d. Which parties contacted? 9th response | If someone from a political party contacted you, which party were they from?"
Q15D_10,"Q15d. Which parties contacted? 10th response | If someone from a political party contacted you, which party were they from?"
Q15D_11,"Q15d. Which parties contacted? 11th response | If someone from a political party contacted you, which party were they from?"
Q15D_12,"Q15d. Which parties contacted? 12th response | If someone from a political party contacted you, which party were they from?"
Q15D_13,"Q15d. Which parties contacted? 13th response | If someone from a political party contacted you, which party were they from?"
Q15D_14,"Q15d. Which parties contacted? 14th response | If someone from a political party contacted you, which party were they from?"
Q15D_15,"Q15d. Which parties contacted? 15th response | If someone from a political party contacted you, which party were they from?"
Q15D_16,"Q15d. Which parties contacted? 16th response | If someone from a political party contacted you, which party were they from?"
Q15D_17,"Q15d. Which parties contacted? 17th response | If someone from a political party contacted you, which party were they from?"
Q15D_18,"Q15d. Which parties contacted? 18th response | If someone from a political party contacted you, which party were they from?"
Q15DOTHER,Q15d. Which parties contacted: Other (verbatim)
Q16A,"Q16a. Last national election: media provide fair coverage of all candidates | During the last national election campaign in [20XX], how often did the media provide fair coverage of all candidates?"
Q16B,"Q16b. Last national election: candidate or political party offer food, gift or money for vote | During the last national election in [20xx], how often, if ever, did a candidate or someone from a political party offer you something, like food, a gift, or money, in return for your vote?"
Q17A,"Q17a. Last national election: votes not accurately counted | In the last national election in [20XX], how often did each of the following things happen: People’s votes were not accurately counted or not fairly reflected in the results?"
Q17B,"Q17b. Last national election: people voted more than once | In the last national election in [20XX], how often did each of the following things happen? People voted more than once?"
Q17C,"Q17c. Last national election: powerful people find out vote | How likely do you think it is that powerful people can find out how you voted, even though there is supposed to be a secret ballot in this country?"
Q17D,"Q17d. Last national election: fear political intimidation or violence | During the last national election campaign in [20XX], how much did you personally fear becoming a victim of political intimidation or violence?"
Q18A,"Q18a. Last national election: police or soldiers assist people to cast ballot | During the last national election in [20xx], did you witness: Police or soldiers, rather than election officials, assisting people to cast their ballot?"
Q18B,"Q18b. Last national election: security forces or political party trying to intimidate voters | During the last national election in [20xx], did you witness: Anyone from the security forces or a political party trying to intimidate voters?"
Q18C,"Q18c. Last national election: announced results reflect counted results | 18C. With regard to the last national election in [20XX], to what extent do you think the results announced by the [Independent Electoral Commission] accurately reflected the actual results as counted?"
Q19A,"Q19a. Government bans organizations vs. join any | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The government should be able to ban any organization that goes against its policies. Statement 2: We should be able to join any organization, whether or not the government approves of it."
Q19B,Q19b. Media free to publish vs. government control | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The media should have the right to publish any views and ideas without government control. Statement 2: The government should have the right to prevent the media from publishing things that it disapproves of.
Q20A,Q20a. Reject one-party rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: Only one political party is allowed to stand for election and hold office?
Q20B,Q20b. Reject military rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: The army comes in to govern the country?
Q20C,Q20c. Reject one-man rule. | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: Elections and Parliament are abolished so that the president can decide everything?
Q21,"Q21. Support for democracy | Which of these three statements is closest to your own opinion? Statement 1: Democracy is preferable to any other kind of government. Statement 2: In some circumstances, a non-democratic government can be preferable. Statement 3: For someone like me, it doesn’t matter what kind of government we have."
Q22,"Q22. Govt gets things done vs. Govt accountable to citizens | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly."
Q23,"Q23 Listen to wisdom of elders vs. fresh ideas from young people | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: In order for our country to do well, we should listen more to the wisdom of our elders. Statement 2: In order for our country to do well, we should listen more to fresh ideas from young people."
Q24,"Q24. Choose leaders through elections vs. other methods | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: We should choose our leaders in this country through regular, open and honest elections. Statement 2: Since elections sometimes produce bad results, we should adopt other methods for choosing this country’s leaders."
Q25,Q25. Political parties divisive vs. many parties needed | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Political parties create division and confusion; it is therefore unnecessary to have many political parties in [Ghana]. Statement 2: Many political parties are needed to make sure that [Ghanaians] have real choices in who governs them.
Q26,Q26. Elected officials accountable vs. elected leaders follow own ideas. | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Our elected officials should listen to constituents’ views and do what they demand. Statement 2: Our elected leaders should follow their own ideas in deciding what is best for the country.
Q27,Q27. Elected leaders empower most capable citizens vs. help people left behind by economic and social change | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Our elected leaders need to focus on empowering our most capable citizens. Statement 2: Our elected leaders should focus on helping people who have been left behind by economic and social change.
Q28,Q28. Experts needed for most important decisions vs no need for experts | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Experts with specialized education or skills are needed to help make the most important decisions for our country. Statement 2: The people and their elected representatives know what is best; they do not need the advice of experts to run the country.
Q29,Q29. President monitored by parliament vs. free to act on own | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Parliament should ensure that the President explains to it on a regular basis how his government spends taxpayers’ money. Statement 2: The President should be able to devote his full attention to developing the country rather than wasting time justifying his actions.
Q30,"Q30. President free to act vs. obey the laws and courts | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. Statement 2: The President must always obey the laws and the courts, even if he thinks they are wrong."
Q31,"Q31. Election winner pursue policies they prefer vs. compromise with other groups. | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Whichever party or group wins elections should be able to pursue the policies they prefer, without needing to compromise with others. Statement 2: In a democracy, it is important to make compromises between the preferences and needs of different groups."
Q32,"Q32. Elected government free to do whatever the people want vs. bound by law. | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: A government that enjoys the support of the people should be free to do whatever the people want, even if it is outside the law. Statement 2: The actions of any government, no matter how popular it is, must always follow the law."
Q33,"Q33. Media checks government vs. avoid negative reporting | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The news media should constantly investigate and report on government mistakes and corruption. Statement 2: Too much reporting on negative events, like government mistakes and corruption, only harms the country."
Q34,Q34. Presidential two term limit vs. no term limits | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: The Constitution should limit the president to serving a maximum of two terms in office. Statement 2: There should be no constitutional limit on how long the president can serve.
Q35A,Q35a. Minimum age for candidate for president needed | Should there be a minimum age for candidates for [president]?
Q35B,"Q35b. Minimum age for candidates for president. | If yes, what should the minimum age be?"
Q35C,Q35c. Maximum age for candidate for president needed. | Should there be a maximum age for candidates for [president]?
Q35D,"Q35d. Maximum age for candidates for president | If yes, what should the maximum age be?"
Q36,Q36. Extent of democracy | In your opinion how much of a democracy is [Ghana] today?
Q37,"Q37. Satisfaction with democracy | Overall, how satisfied are you with the way democracy works in [Ghana]? Are you:"
Q38A,Q38a. MPs listen | How much of the time do you think the following try their best to listen to what people like you have to say: Members of Parliament?
Q38B,Q38b. Local government councilors listen | How much of the time do you think the following try their best to listen to what people like you have to say: Local government councilors?
Q38C,Q38c. Traditional leaders listen | How much of the time do you think the following try their best to listen to what people like you have to say: Traditional leaders?
Q39A,"Q39a. People must pay taxes | For each of the following statements, please tell me whether you disagree or agree: The tax authorities always have the right to make people pay taxes."
Q39B,"Q39b. Government information for official use only | For each of the following statements, please tell me whether you disagree or agree: Information held by public authorities is only for use by government officials; it should not have to be shared with the public."
Q40A,"Q40a. How often party competition leads to conflict | In your opinion, how often, in this country: Does competition between political parties lead to violent conflict?"
Q40B,"Q40b. How often president ignores laws | In your opinion, how often, in this country: Does the President ignore the courts and laws of this country?"
Q40C,"Q40c. How often president ignores parliament | In your opinion, how often, in this country: Does the President ignore Parliament and just do what he wants?"
Q40D,"Q40d. How often careful what you say | In your opinion, how often, in this country: Do people have to be careful of what they say about politics?"
Q40E,"Q40e. How often people treated unequally | In your opinion, how often, in this country: Are people treated unequally under the law?"
Q40F,"Q40f. How often officials unpunished | In your opinion, how often, in this country: Do officials who commit crimes go unpunished?"
Q40G,"Q40g. How often ordinary people unpunished | In your opinion, how often, in this country: Do ordinary people who break the law go unpunished?"
Q41A,"Q41a. Trust president | How much do you trust each of the following, or haven’t you heard enough about them to say: The President?"
Q41B,"Q41b. Trust parliament/national assembly | How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?"
Q41C,"Q41c. Trust national electoral commission | How much do you trust each of the following, or haven’t you heard enough about them to say: [The Electoral Commission of Ghana]?"
Q41D,"Q41d. Trust your elected local government council | How much do you trust each of the following, or haven’t you heard enough about them to say: Your [county assembly]?"
Q41E,"Q41e. Trust the ruling party | How much do you trust each of the following, or haven’t you heard enough about them to say: The Ruling Party?"
Q41F,"Q41f. Trust opposition political parties | How much do you trust each of the following, or haven’t you heard enough about them to say: Opposition Political Parties?"
Q41G,"Q41g. Trust police | How much do you trust each of the following, or haven’t you heard enough about them to say: The Police?"
Q41H,"Q41h. Trust army | How much do you trust each of the following, or haven’t you heard enough about them to say: The Army?"
Q41I,"Q41i. Trust courts of law | How much do you trust each of the following, or haven’t you heard enough about them to say: Courts of law?"
Q41J,"Q41j. The tax/revenue office | How much do you trust each of the following, or haven’t you heard enough about them to say: The tax/revenue office?"
Q41K,"Q41k. Trust traditional leaders | How much do you trust each of the following, or haven’t you heard enough about them to say: Traditional leaders?"
Q41L,"Q41l. Trust religious leaders | How much do you trust each of the following, or haven’t you heard enough about them to say: Religious leaders?"
Q42A,"Q42a. Corruption: office of the Presidency | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: The President and Officials in his Office?"
Q42B,"Q42b. Corruption: Members of Parliament | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Members of Parliament?"
Q42C,"Q42c. Corruption: Civil servants | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Civil servants?"
Q42D,"Q42d. Corruption: local government councilors | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Members of your [local government council]?"
Q42E,"Q42e. Corruption: police | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Police?"
Q42F,"Q42f. Corruption: judges and magistrates | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Judges and Magistrates?"
Q42G,"Q42g. Corruption: tax officials | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Tax officials?"
Q42H,"Q42h. Corruption: traditional leaders | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: traditional leaders?"
Q42I,"Q42i. Corruption: religious leaders | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Religious Leaders?"
Q43A,"Q43a. Level of corruption | In your opinion, over the past year, has the level of corruption in this country increased, decreased, or stayed the same?"
Q43B,"Q43b. Ordinary people can report corruption without fear | In this country, can ordinary people report incidents of corruption without fear, or do they risk retaliation or other negative consequences if they speak out?"
Q44A,Q44a. Contact with public school | Now I would like to talk to you about experiences that some people have in accessing certain essential government services. In the past 12 months have you had contact with a public school?
Q44B,Q44b. Difficulty to obtain public school services | How easy or difficult was it to obtain the services you needed from teachers or school officials?
Q44C,"Q44c. Pay bribe for public school services | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a teacher or school official in order to get the services you needed from the schools?"
Q44D,Q44d. Contact with public clinic or hospital | In the past 12 months have you had contact with a public clinic or hospital?
Q44E,Q44e. Difficulty to obtain medical care | How easy or difficult was it to obtain the medical care you needed?
Q44F,"Q44f. Pay bribe for medical care | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care you needed?"
Q44G,"Q44g. Tried to obtain identity document | In the past 12 months have you tried to get an identity document like a birth certificate, driver’s license, passport or voter’s card, or a permit, from government?"
Q44H,Q44h. Difficulty to obtain identity document | How easy or difficult was it to obtain the document you needed?
Q44I,"Q44i. Pay bribe for identity document | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?"
Q44J,Q44j. Requested police assistance | In the past 12 months have you requested assistance from the police?
Q44K,Q44k. Difficulty to obtain police assistance | How easy or difficult was it to obtain the assistance you needed?
Q44L,"Q44l. Pay bribe to receive police assistance | And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a police officer in order to get the assistance you needed."
Q44M,"Q44m. Contact with police in other situations | In the past 12 months, how often have you encountered the police in other situations, like at checkpoints, during identity checks or traffic stops, or during an investigation?"
Q44N,"Q44n. Pay bribe to avoid problem with police | How often, if ever did you have to pay a bribe, give a gift, or do a favour for a police officer in order to avoid a problem during one of these encounters."
Q45,"Q45. Higher taxes with more govt services vs. lower taxes with fewer govt services. | Now let us talk about the tax system in this country. Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is better to pay higher taxes if it means that there will be more services provided by government. Statement 2: It is better to pay lower taxes, even if it means there will be fewer services provided by government."
Q46A,"Q46a. Difficulty to find out what taxes or fees to pay | Based on your experience, how easy or difficult is it to do each of the following: To find out what taxes and fees you are supposed to pay to the government?"
Q46B,"Q46b. Difficulty to find out how government uses tax revenues. | Based on your experience, how easy or difficult is it to do each of the following: To find out how government uses the revenues from people’s taxes and fees?"
Q46C,"Q46c. Taxes for ordinary people: too little, too much, or about the right amount | Do you think that the amount of taxes that ordinary people in [Botswana] are required to pay to the government is too little, too much, or about the right amount?"
Q46D,"Q46d. Taxes for the rich: too little, too much, or about the right amount. | Do you think that the amount of taxes that rich people in [Botswana] are required to pay to the government is too little, too much, or about the right amount?"
Q47A,Q47a. Government should ensure small traders and informal sector pay taxes | Do you agree or disagree with each of the following statements: Government should make sure small traders and other people working in the informal sector pay taxes on their businesses?
Q47B,Q47b. Fairness of high taxes for the rich to help the poor. | Do you agree or disagree with each of the following statements: It is fair to tax rich people at a higher rate than ordinary people in order to help pay for government programs to benefit the poor.
Q47C,Q47c. Taxes used by government for the well-being of citizens. | Do you agree or disagree with each of the following statements: The government usually uses the tax revenues it collects for the well-being of citizens.
Q47D,"Q47d. People avoid paying taxes | In your opinion, how often, in this country, do people avoid paying the taxes that they owe the government?"
Q48PT1,"Q48pt1. Most important problems – 1st response | In your opinion, what are the most important problems facing this country that government should address?"
Q48PT1OTHER,"Q48pt1other. MIP – 1st response (verbatim) | In your opinion, what are the most important problems facing this country that government should address?"
Q48PT2,"Q48pt2. Most important problems – 2nd response | In your opinion, what are the most important problems facing this country that government should address?"
Q48PT2OTHER,"Q48pt2other. MIP – 2nd response (verbatim) | In your opinion, what are the most important problems facing this country that government should address?"
Q48PT3,"Q48pt3. Most important problems – 3rd response | In your opinion, what are the most important problems facing this country that government should address?"
Q48PT3OTHER,"Q48pt3other. MIP – 3rd response (verbatim) | In your opinion, what are the most important problems facing this country that government should address?"
Q49A,"Q49a. More taxes to support youth programs | If the government decided to make people pay more taxes in order to support programs to help young people, would you support this decision or oppose it?"
Q49B,"Q49b. Priorities for government investment in youth programs | If the government could increase its spending on programs to help young people, which of the following areas do you think should be the highest priority for additional investment?"
Q50A,"Q50a. Handling managing the economy | Now let’s speak about the performance of the present government of this country. How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Managing the economy?"
Q50B,"Q50b. Handling improving living standards of the poor | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Improving the living standards of the poor?"
Q50C,"Q50c. Handling creating jobs | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Creating jobs?"
Q50D,"Q50d. Handling keeping prices stable | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Keeping prices stable?"
Q50E,"Q50e. Handling narrowing gaps between rich and poor | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Narrowing gaps between rich and poor?"
Q50F,"Q50f. Handling reducing crime | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Reducing crime?"
Q50G,"Q50g. Handling improving basic health services | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Improving basic health services?"
Q50H,"Q50h. Handling addressing educational needs | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Addressing educational needs?"
Q50I,"Q50i. Handling providing water and sanitation services | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Providing water and sanitation services?"
Q50J,"Q50j. Handling fighting corruption in government | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Fighting corruption in government?"
Q50K,"Q50k. Handling maintaining roads and bridges | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Maintaining roads and bridges?"
Q50L,"Q50l. Handling providing a reliable supply of electricity | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Providing a reliable supply of electricity?"
Q50M,"Q50m. Handling preventing or resolving violent conflict | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Preventing or resolving violent conflict?"
Q50N,"Q50n. Handling addressing needs of young people | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Addressing the needs of young people?"
