variable,question_text
COUNTRY,Country
RESPNO,Respondent number
URBRUR,Urban or Rural Primary Sampling Unit | PSU/EA
BACKCHK,Household back-checked?
REGION,Province or region | Region/Province
DISTRICT,District
EA_SVC_A,Electricity grid in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Electricity grid that most houses could access?
EA_SVC_B,Piped water system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Piped water system that most houses could access?
EA_SVC_C,Sewage system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Sewage system that most houses could access?
EA_SVC_D,Cell phone service in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Cell phone service? 3
EA_FAC_A,"Post-office in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Post-office?"
EA_FAC_B,"School in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: School?"
EA_FAC_C,"Police station in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Police station?"
EA_FAC_D,"Health clinic in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Health clinic?"
EA_FAC_E,"Market stalls in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Market stalls (selling groceries and/or clothing)?"
EA_SEC_A,"Police in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any policemen or police vehicles?"
EA_SEC_B,"Soldiers/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any soldiers or army vehicles?"
EA_ROAD,Tarred/paved road | Thinking of your journey here: Was the road at the start point in the PSU/EA paved/ tarred/ concrete?
NOCALL_1,Reason for Unsuccessful Call Household 1 | Reasons for unsuccessful calls: Household 1
NOCALL_2,Reason for Unsuccessful Call Household 2 | Reasons for unsuccessful calls: Household 2
NOCALL_3,Reason for Unsuccessful Call Household 3 | Reasons for unsuccessful calls: Household 3
NOCALL_4,Reason for Unsuccessful Call Household 4 | Reasons for unsuccessful calls: Household 4
