variable,question_text
COUNTRY,Country
COUNTRY_ALPHA,Country in alphabetical order | Country
COUNTRY.BY.REGION.NO,Country by region: numeric code
COUNTRY.BY.REGION,Country by region
RESPNO,Respondent number
URBRUR,Urban or Rural Primary Sampling Unit | PSU/EA
REGION,Province or region | Region/Province
EA_SVC_A,Electricity grid in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Electricity grid that most houses could access?
EA_SVC_B,Piped water system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Piped water system that most houses could access?
EA_SVC_C,Sewage system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Sewage system that most houses could access?
EA_SVC_D,Cell phone service in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Cell phone service?
EA_FAC_A,"Post-office in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Post-office?"
EA_FAC_B,"School in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: School?"
EA_FAC_C,"Police station in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Police station?"
EA_FAC_D,"Health clinic in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Health clinic?"
EA_FAC_E,"Market stalls in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Market stalls (selling groceries and/or clothing)?"
EA_SEC_A,"Police in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any policemen or police vehicles?"
EA_SEC_B,"Soldiers/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any soldiers or army vehicles?"
EA_SEC_C,"Roadblocks by police/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks set up by police or army?"
EA_SEC_D,"Roadblocks by private security in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks or booms set up by private security providers?"
EA_SEC_E,"Roadblocks by local community in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks or booms set up by the local community?"
EA_ROAD,Tarred/paved road | Thinking of your journey here: Was the road at the start point in the PSU/EA paved/ tarred/ concrete?
NOCALL_1,Reason for Unsuccessful Call Household 1 | Reasons for unsuccessful calls: Household 1
NOCALL_1OTHER,Reason for Unsuccessful Call Household 1 (verbatim)
NOCALL_2,Reason for Unsuccessful Call Household 2 | Reasons for unsuccessful calls: Household 2
NOCALL_2OTHER,Reason for Unsuccessful Call Household 2 (verbatim)
NOCALL_3,Reason for Unsuccessful Call Household 3 | Reasons for unsuccessful calls: Household 3
NOCALL_3OTHER,Reason for Unsuccessful Call Household 3 (verbatim)
NOCALL_4,Reason for Unsuccessful Call Household 4 | Reasons for unsuccessful calls: Household 4
NOCALL_5,Reason for Unsuccessful Call Household 5 | Reasons for unsuccessful calls: Household 5
NOCALL_6,Reason for Unsuccessful Call Household 6 | Reasons for unsuccessful calls: Household 6
NOCALL_7,Reason for Unsuccessful Call Household 7 | Reasons for unsuccessful calls: Household 7
PREVINT,"Previous interview, gender | Previous interview was with a:"
THISINT,"This interview, gender | This interview must be with a:"
ADULT_CT,Number of adults in household | Total number of adult citizens in household
CALLS,Number of calls | How many calls were made to the household where the interview actually took place?
DATEINTR,Date of interview
STRTIME,Time interview started
Q1,Age | How old are you?
Q2,Language of respondent | Which language is your home language?
Q2OTHER,Q2other. Language of respondent (verbatim)
Q3A,"Country’s present economic condition | In general, how would you describe: The present economic condition of this country?"
Q3B,"Your present living conditions | In general, how would you describe: Your own present living conditions?"
Q4,"Your living conditions vs. others | In general, how do you rate your living conditions compared to those of other [Ghanaians]?"
Q5A,"Country’s economic condition compared to 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Economic conditions in this country?"
Q5B,"Your living conditions compared to 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Your living conditions?"
Q6A,"Country’s economic condition in 12 months time | Looking ahead, do you expect the following to be better or worse: Economic conditions in this country in twelve months time?"
Q6B,"Your living conditions in 12 months time | Looking ahead, do you expect the following to be better or worse: Your living conditions in twelve months time?"
Q7,Overall direction of the country | What about the overall direction of the country? Would you say that the country is going in the wrong direction or going in the right direction?
Q8A,"How often gone without food | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough food to eat?"
Q8B,"How often gone without water | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough clean water for home use?"
Q8C,"How often gone without medical care | Over the past year, how often, if ever, have you or anyone in your family gone without: Medicines or medical treatment?"
Q8D,"How often gone without cooking fuel | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough fuel to cook your food?"
Q8E,"How often gone without a cash income | Over the past year, how often, if ever, have you or anyone in your family gone without: A cash income?"
Q9A,"How often felt unsafe walking in neighbourhood | Over the past year, how often, if ever, have you or anyone in your family: Felt unsafe walking in your neighbourhood?"
Q9B,"How often feared crime in home | Over the past year, how often, if ever, have you or anyone in your family: Feared crime in your own home?"
Q10A,"Had something stolen from house | During the past year, have you or anyone in your family: Had something stolen from your house?"
Q10B,"Have been physically attacked | During the past year, have you or anyone in your family: Been physically attacked?"
Q10C,Reported the incident to the police | Was any such incident reported to the police? 13
Q11,"Main reason for not reporting crimes to the police | Some people say that many crimes are never reported to the police. Based on your experience, what do you think is the main reason that many people do not report crimes like thefts or attacks to the police when they occur?"
Q11OTHER,Q11other. Reason for not reporting crimes to the police (verbatim)
