variable,question_text
Q12,"If a victim of crime, whom to go to first for assistance | If you were a victim of crime in this country, who, if anyone, would you go to first for assistance?"
Q12OTHER,"Q12other. If a victim of crime, whom to go to first for assistance (verbatim)"
Q13A,Radio news | How often do you get news from the following sources: Radio?
Q13B,Television news | How often do you get news from the following sources: Television?
Q13C,Newspaper news | How often do you get news from the following sources: Newspapers?
Q13D,Internet | How often do you get news from the following sources: Internet?
Q14,Interest in public affairs | How interested would you say you are in public affairs?
Q15,"Discuss politics | When you get together with your friends or family, would you say you discuss political matters:"
Q16,Politics and government too complicated | Do you agree or disagree with the following statement: Sometimes politics and government seem so complicated that a person like me cannot really understand what is going on.
Q17A,"Freedom to say what you think | In this country, how free are you: To say what you think?"
Q17B,"Freedom to join any political organizations | In this country, how free are you: To join any political organization you want?"
Q17C,"Freedom to choose who to vote for | In this country, how free are you: To choose who to vote for without feeling pressured?"
Q18,"Leaders help own community vs. treat all equally | Let’s talk for a moment about the kind of society we would like to have in this country. Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Once in office, elected leaders are obliged to help their home community or group first. Statement 2: Since elected leaders should represent everyone, they should not do anything that favours their own group over others."
Q19,"Government bans organization vs. join any | Which of the following statements is closest to your view? Choose Statement 1or Statement 2. Statement 1: Government should be able to ban any organization that goes against its policies. Statement 2: We should be able to join any organization, whether or not the government approves of it."
Q20,Newspapers free to publish vs. government closes | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The media should have the right to publish any views and ideas without government control. Statement 2: The government should have the right to prevent the media from publishing things that it consider harmful to society.
Q21,Government like a parent vs. an employee | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: The government is like a parent. It should decide which is good for us. Statement 2: The government is like our employee. We are the bosses and should tell government what to do.
Q22,"Men only as leaders vs. women leaders ok | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Men make better political leaders than women, and should be elected rather than women. Statement 2: Women should have the same chance of being elected to political office as men."
Q23,"Women have equal rights vs. subject to traditional laws | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: In our country, women should have equal rights and receive the same treatment as men do. Statement 2: Women have always been subject to traditional laws and customs, and should remain so."
Q24,"Education recipient priority: boy vs ability | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: If funds for schooling are limited, a boy should always receive an education in school before a girl. Statement 2: If funds for schooling are limited, a family should send the child with the greatest ability to learn."
Q25A,"Member of religious group | Let’s turn to your role in the community. Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are an official leader, an active member, an inactive member, or not a member: A religious group that meets outside of regular worship services?"
Q25B,"Member of voluntary association or community group | Let’s turn to your role in the community. Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are an official leader, an active member, an inactive member, or not a member: Some other voluntary association or community group?"
Q26A,"Attend a community meeting | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Attended a community meeting?"
Q26B,"Join others to raise an issue | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Got together with others to raise an issue?"
Q26C,"Refused to pay tax or fee to government | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Refused to pay a tax or fee to government?"
Q26D,"Attend a demonstration or protest march | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Attended a demonstration or protest march?"
Q26E,"Used force or violence for a political cause | Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have done any of these things during the past year. If not, would you do this if you had the chance: Used force or violence for a political cause"
Q27,Voting in the most recent national election
Q28,Freeness and fairness of the last national election
Q29A,Last national election: attend a campaign meeting or rally
Q29B,Last national election: persuade others to vote for a certain candidate or party
Q29C,Last national election: work for a candidate or party
Q30A,Contact local government councillor
Q30B,Contact MP
Q30C,"Contact official of a government agency | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: An official of a government agency?"
Q30D,"Contact political party official | During the past year, how often have you contacted any of the following persons about some important problem or to give them your views: A political party official?"
Q31A,Reject one-party rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: Only one political party is allowed to stand for election and hold office?
Q31B,Reject military rule | There are many ways to govern a country. Would you disapprove or approve of the following alternatives: The army comes in to govern the country?
Q31C,Reject one-man rule
Q31D_ARB,Reject Islamic law system without elections or political parties
Q32,"Support for democracy | Which of these three statements is closest to your own opinion? Statement 1: Democracy is preferable to any other kind of government. Statement 2: In some circumstances, a non-democratic government can be preferable. Statement 3: For someone like me, it doesn’t matter what kind of government we have."
Q33,"Government gets things done but no citizen influence vs. government accountable to citizens Values: 1-5, 9, 998, -1 | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is more important to have a government that can get things done, even if we have no influence over what it does. Statement 2: It is more important for citizens to be able to hold government accountable, even if that means it makes decisions more slowly."
Q34,"Choose leaders through elections vs. other methods | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: We should choose our leaders in this country through regular, open and honest elections. Statement 2: Since elections sometimes produce bad results, we should adopt other methods for choosing this country’s leaders."
Q35,Political parties divisive vs. many parties needed | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. **Statement 1: Political parties create division and confusion; it is therefore unnecessary to have many political parties in the country. **Statement 2: Many political parties are needed to make sure that [Ghanaians] have real choices in who governs them.
Q36,President monitored by parliament vs. free to act on own | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 **Statement 1: Parliament should ensure that the President explains to it on a regular basis how his government spends taxpayers’ money. **Statement 2: The President should be able to devote his full attention to developing the country rather than wasting time justifying his actions.
Q37,Opposition parties examine government vs. cooperate | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: Opposition parties should regularly examine and criticize government policies and actions. Statement 2: Opposition parties should concentrate on cooperating with government and helping it develop the country.
Q38,"Media checks government vs. avoid negative reporting | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 Statement 1: The news media should constantly investigate and report on government mistakes and corruption. Statement 2: Too much reporting on negative events, like government mistakes and corruption, only harms the country."
Q39,"Parliament makes laws vs. president does | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. **Statement 1: Members of Parliament represent the people; therefore they should make laws for this country, even if the President does not agree. **Statement 2: Since the President represents all of us, he should pass laws without worrying about what Parliament thinks."
Q40,"President free to act vs. obey the laws and courts | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. 22 **Statement 1: Since the President was elected to lead the country, he should not be bound by laws or court decisions that he thinks are wrong. **Statement 2: The President must always obey the laws and the courts, even if he thinks they are wrong."
Q41,Presidential two term limit vs. no term limits | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2 **Statement 1: The Constitution should limit the president to serving a maximum of two terms in office. **Statement 2: There should be no constitutional limit on how long the president can serve.
Q41A_ARB,Democracy is a system that contradicts the teachings of Islam | The opinions of Islamic jurists and religious scholars differ with regard to their interpretations of certain issues in Islam. What extent you agree or disagree with each of the following statements: Democracy is a system that contradicts the teachings of Islam?
Q41B_ARB,"In a Muslim country, non-Muslims should enjoy less political rights than Muslims | The opinions of Islamic jurists and religious scholars differ with regard to their interpretations of certain issues in Islam. What extent you agree or disagree with each of the following statements: In a Muslim country, non-Muslims should enjoy less political rights than Muslims?"
Q41C_ARB,"Religious leaders like imams, preachers and priests should not interfere in voters’ decisions in elections. | The opinions of Islamic jurists and religious scholars differ with regard to their interpretations of certain issues in Islam. What extent you agree or disagree with each of the following statements: Religious leaders like imams, preachers and priests should not interfere in voters’ decisions in elections?"
Q41D_ARB,The country is better off if religious people hold public positions in the state. | The opinions of Islamic jurists and religious scholars differ with regard to their interpretations of certain issues in Islam. What extent you agree or disagree with each of the following statements: The country is better off if religious people hold public positions in the state?
Q42,Extent of democracy
Q43,Satisfaction with democracy
Q43A_ARB,"Under a democratic system, the country’s economic performance is weak | Do you agree or disagree with each of the following statements: Under a democratic system, the country’s economic performance is weak?"
Q43B_ARB,Democratic regimes are indecisive | Do you agree or disagree with each of the following statements: Democratic regimes are indecisive?
Q43C_ARB,Democratic systems are not effective at maintaining order and stability | Do you agree or disagree with each of the following statements: Democratic systems are not effective at maintaining order and stability?
Q43D_ARB,The country’s citizens are not prepared for a democratic system. | Do you agree or disagree with each of the following statements: people are not prepared for a democratic system?
Q43E_ARB,Democracy negatively affects social and ethical values | Do you agree or disagree with each of the following statements: Democracy negatively affects social and ethical values.
Q44,"Essential characteristics of democracy: equality, fair election, etc | Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one of the things that I am going to read, which one would you choose as the most essential characteristic of democracy?"
Q45,"Essential characteristics of democracy: law and order, job, etc | And here is another list. Which one of these things would you choose as the most essential characteristic of democracy?"
Q46A,"Level of democracy: today | On a scale between 0 and 10, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following, or haven’t you heard enough to say: Our country today?"
Q46B,"Level of democracy: ten years ago | On a scale between 0 and 10, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following, or haven’t you heard enough to say: Our country ten years ago, in 2001?"
Q46C,Level of democracy: under previous non-democratic regime
Q46D,"Level of democracy: in the future | On a scale between 0 and 10, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following, or haven’t you heard enough to say: And on the same scale, where would you want our country to be in the future?"
Q47A,"Level of democracy: China | On the same scale, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following countries, or haven’t you heard enough to say: People’s Republic of China?"
Q47B,"Level of democracy: USA | On the same scale, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following countries, or haven’t you heard enough to say: United States of America?"
Q47C,"Level of democracy: South Africa | On the same scale, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following countries, or haven’t you heard enough to say: South Africa?"
Q47D,"Level of democracy: Zimbabwe | On the same scale, where 0 means completely undemocratic and 10 means completely democratic, where would you place each of the following countries, or haven’t you heard enough to say: Zimbabwe?"
Q47E,Level of democracy: former Colonial Power
Q47F_ARB,Level of democracy: Iran
Q47G_ARB,Level of democracy: Turkey
Q47H_ARB,Level of democracy: Saudi Arabia
Q47I_ARB,Level of democracy: Israel
Q48A,"Courts make binding decisions | For each of the following statements, please tell me whether you disagree or agree: The courts have the right to make decisions that people always have to abide by."
Q48B,"People must obey the law | For each of the following statements, please tell me whether you disagree or agree: The police always have the right to make people obey the law."
Q48C,"People must pay taxes | For each of the following statements, please tell me whether you disagree or agree: The tax authorities always have the right to make people pay taxes."
Q49,"Obey government always vs. only if vote for it | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is important to obey the government in power, no matter who you voted for. Statement 2: It is not necessary to obey the laws of a government that you did not vote for."
Q50,Citizens must pay taxes vs. no need to tax the people | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: Citizens must pay their taxes to the government in order for our country to develop. Statement 2: The government can find enough resources for development from other sources without having to tax the people.
Q51,"Higher taxes with more gov’t services vs. lower taxes with fewer gov’t services | Which of the following statements is closest to your view? Choose Statement 1 or Statement 2. Statement 1: It is better to pay higher taxes, if it means that there will be more services provided by government Statement 2: It is better to pay lower taxes, even if it means there will be fewer services provided by government."
Q52A,"How often news media abuse its freedom | In your opinion, how often, in this country: Does the news media abuse its freedoms by printing or saying things it knows are not true?"
Q52B,"How often party competition leads to conflict | In your opinion, how often, in this country: Does competition between political parties lead to violent conflict?"
Q52C,How often president ignores laws
Q52D,"How often opposition parties silenced by government | In your opinion, how often, in this country: Are opposition parties or their supporters silenced by the government?"
Q52E,How often president ignore parliament
Q53,"How effective the news media reveals government mistakes and corruption | In this country, how effective is the news media in revealing government mistakes and corruption?"
Q54,"How much fear political intimidation or violence | During election campaigns in this country, how much do you personally fear becoming a victim of political intimidation or violence?"
Q55,"How likely powerful find out your vote | How likely do you think it is that powerful people can find out how you voted, even though there is supposed to be a secret ballot in this country?"
Q56A,"How often careful what you say | In your opinion, how often, in this country:: do people have to be careful of what they say about politics?"
Q56B,"How often people treated unequally | In your opinion, how often, in this country: Are people treated unequally under the law?"
Q56C,"How often women treated unequally by traditional leaders | In your opinion, how often, in this country: Are women treated unequally by traditional leaders?"
Q56D,"How often women treated unequally by police and courts | In your opinion, how often, in this country: Are women treated unequally by the police and courts?"
Q56E,"How often women treated unequally by employers | In your opinion, how often, in this country: Are women treated unequally by employers?"
Q56F,"How often officials unpunished | In your opinion, how often, in this country: Do officials who commit crimes go unpunished?"
Q56G,"How often ordinary people unpunished | In your opinion, how often, in this country: Do ordinary people who break the law go unpunished? 31"
Q56H,"How often obtain household services without paying | In your opinion, how often, in this country: Do people obtain household services, like water or electricity, without paying for them?"
Q56I,"How often avoid paying taxes | In your opinion, how often, in this country: Do people avoid paying the taxes that they owe the government?"
Q57,"Essential characteristics of democracy: legislature, government, people etc. | Let me ask you again about the most essential characteristics of democracy. If you have to choose only one of the things that I am going to read, which one would you choose as the most essential characteristic of democracy?"
Q58,"Essential characteristics of democracy: participation, no corruption, courts etc. | And here is another list. Which one of these things would you choose as the most essential characteristic of democracy?"
Q59A,Trust key leadership figure (President/Prime Minister)
Q59B,Trust parliament/national assembly
Q59C,Trust national electoral commission
Q59D,Trust tax department
Q59E,Trust your elected local government council
Q59F,"Trust opposition political parties | How much do you trust each of the following, or haven’t you heard enough about them to say: The Ruling Party? | How much do you trust each of the following, or haven’t you heard enough about them to say: Opposition Political Parties?"
Q59G,Q59g. Trust opposition political parties
Q59H,"Trust police | How much do you trust each of the following, or haven’t you heard enough about them to say: The Police?"
Q59I,"Trust army | How much do you trust each of the following, or haven’t you heard enough about them to say: The army?"
Q59J,"Trust courts of law | How much do you trust each of the following, or haven’t you heard enough about them to say: Courts of law?"
Q60A,Corruption: office of the President/Prime Minister
Q60B,Corruption: Members of Parliament
Q60C,"Corruption: government officials | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Government Officials? 34"
Q60D,Corruption: local government councilors
Q60E,"Corruption: police | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Police?"
Q60F,Corruption: tax officials
Q60G,"Corruption: judges and magistrates | How many of the following people do you think are involved in corruption, or haven’t you heard enough about them to say: Judges and Magistrates?"
Q61A,"Pay bribe for: document or permit | In the past year, how often, (if ever, have you had to pay a bribe, give a gift, or do a favor to government officials in order to: Get a document or a permit?"
Q61B,"Pay bribe for: water or sanitation services | In the past year, how often, if ever, have you had to pay a bribe, give a gift, or do a favor to government officials in order to: Get water or sanitation services?"
Q61C,"Pay bribe for: treatment at local health clinic or hospital | In the past year, how often, if ever, have you had to pay a bribe, give a gift, or do a favor to government officials in order to: Get treatment at a local health clinic or hospital?"
Q61D,"Pay bribe for: avoid problem with police | In the past year, how often, if ever, have you had to pay a bribe, give a gift, or do a favor to government officials in order to: Avoid a problem with the police (like passing a checkpoint or avoiding a fine or arrest)?"
Q61E,"Pay bribe for: school placement | In the past year, how often, if ever, have you had to pay a bribe, give a gift, or do a favor to government officials in order to: Get a place in a primary school for a child?"
Q61F,Election incentives offered
Q62A,MPs listen
Q62B,Local government councilors listen
Q63PT1,"Most important problems – 1st response **Values: 0-33, 100, 140-144, 260, 301, 420, 460-465, 580, 621, 661, 700, 740-742,781, 860-863, 1100, 1180, 1261-1262, 1461, 1582-1583, 1620-1622, 9995, 9998-9999, -1 **Value Labels: 0=Nothing/No problems, 1=Management of economy, 2=Wages, incomes and salaries, 3=Unemployment, 4=Poverty/ destitution, 5=Rates and taxes, 6=Loans/ credit, 7=Farming/ agriculture, 8=Food shortage/ famine, 9=Drought, 10=Land, 11=Transportation, 12=Communications, 13=Infrastructure/ roads, 14=Education, 15=Housing, 16=Electricity, 17=Water supply, 18=Orphans/ street children/ homeless, 19=Services (other), 20=Health, 21=AIDS, 22=Sickness/ disease, 23=Crime and security, 24=Corruption, 25=Political violence, 26=Political instability/ ethnic tensions, 27=Discrimination/ inequality, 28=Gender issues/ women's rights, 29=Democracy/ political rights, 30=War (international), 31=Civil war, 32=Agricultural marketing, 33=Food prices / Cost of living / Commodity prices, 100=Building markets, 140=Alcohol related issues, 142=Immigrants related issues, 143=Poor work ethics, 144=Lack of transparency, 260=Toilet Facilities, 301=IDPs resettlement, 420=Political crisis / elections, 460=Foreign exchange, 461=Fuel, 463=Inputs subsidy prog problems, 464=Domestic violence/VAW/rape, 465=Same sex relationships, 580=Sewerage/Sanitation, 621=Flood Management & Control, 661=Floods, 700=Drug abuse / Substance abuse, 740=Union Matters, 741=Constitutional matters, 742=Leadership, 781=Presidential term limit, 860=Use of foreign currency, 861=Lack of local currency, 862=Removal of sanctions, 863=Financial support for the disabled and elderly, 1100=Grain mills, 1180=Demographic growth, 1261=Reconciliation / Real peace, 1262=Release of political prisoners, 1461=Ineffectiveness or corruption in media, 1581=Strikes, 1582=Reforming the judiciary and media, 1583=Decreasing the ratio L level of social and economic development, 1620=Support for elderly, 1621=Social welfare, 1622=Care of disabled, marginalized, 9995=Other, 9998=Refused to answer, 9999=Don't know, -1=Missing. | In your opinion, what are the most important problems facing this country that government should address?"
Q63PT1OTHER,Q63pt1other. MIP - 1st response (verbatim)
Q63PT2,"Most important problems – 2nd response **Values: 1-33, 100, 140-144, 260, 301, 420, 460-465, 580, 621, 661, 700, 740-742,781, 860-863, 1100, 1180, 1261-1262, 1461, 1582-1583, 1620-1622, 9995, 9996, 9998, -1 **Value Labels: 1=Management of economy, 2=Wages, incomes and salaries, 3=Unemployment, 4=Poverty/ destitution, 5=Rates and taxes, 6=Loans/ credit, 7=Farming/ agriculture, 8=Food shortage/ famine, 9=Drought, 10=Land, 11=Transportation, 12=Communications, 13=Infrastructure/ roads, 14=Education, 15=Housing, 16=Electricity, 17=Water supply, 18=Orphans/ street children/ homeless, 19=Services (other), 20=Health, 21=AIDS, 22=Sickness/ disease, 23=Crime and security, 24=Corruption, 25=Political violence, 26=Political instability/ ethnic tensions, 27=Discrimination/ inequality, 28=Gender issues/ women's rights, 29=Democracy/ political rights, 30=War (international), 31=Civil war, 32=Agricultural marketing, 33=Food prices / Cost of living / Commodity prices, 100=Building markets, 140=Alcohol related issues, 142=Immigrants related issues, 143=Poor work ethics, 144=Lack of transparency, 260=Toilet Facilities, 301=IDPs resettlement, 420=Political crisis / elections, 460=Foreign exchange, 461=Fuel, 463=Inputs subsidy prog problems, 464=Domestic violence/VAW/rape, 465=Same sex relationships, 580=Sewerage/Sanitation, 621=Flood Management & Control, 661=Floods, 700=Drug abuse / Substance abuse, 740=Union Matters, 37 741=Constitutional matters, 742=Leadership, 781=Presidential term limit, 860=Use of foreign currency, 861=Lack of local currency, 862=Removal of sanctions, 863=Financial support for the disabled and elderly, 1100=Grain mills, 1180=Demographic growth, 1261=Reconciliation / Real peace, 1262=Release of political prisoners, 1461=Ineffectiveness or corruption in media, 1581=Strikes, 1582=Reforming the judiciary and media, 1583=Decreasing the ratio L level of social and economic development, 1620=Support for elderly, 1621=Social welfare, 1622=Care of disabled, marginalized, 9995=Other, 9996=No further reply, 9998=Refused to answer, -1=Missing. | In your opinion, what are the most important problems facing this country that government should address?"
Q63PT2OTHER,Q63pt2other. MIP - 2nd response (verbatim)
Q63PT3,"Most important problems – 3rd response **Values: 1-33, 100, 140-144, 260, 301, 420, 460-465, 580, 621, 661, 700, 740-742,781, 860-863, 1100, 1180, 1261-1262, 1461, 1582-1583, 1620-1622, 9995, 9996, 9998, -1 **Value Labels: 1=Management of economy, 2=Wages, incomes and salaries, 3=Unemployment, 4=Poverty/ destitution, 5=Rates and taxes, 6=Loans/ credit, 7=Farming/ agriculture, 8=Food shortage/ famine, 9=Drought, 10=Land, 11=Transportation, 12=Communications, 13=Infrastructure/ roads, 14=Education, 15=Housing, 16=Electricity, 17=Water supply, 18=Orphans/ street children/ homeless, 19=Services (other), 20=Health, 21=AIDS, 22=Sickness/ disease, 23=Crime and security, 24=Corruption, 25=Political violence, 26=Political instability/ ethnic tensions, 27=Discrimination/ inequality, 28=Gender issues/ women's rights, 29=Democracy/ political rights, 30=War (international), 31=Civil war, 32=Agricultural marketing, 33=Food prices / Cost of living / Commodity prices, 100=Building markets, 140=Alcohol related issues, 142=Immigrants related issues, 143=Poor work ethics, 144=Lack of transparency, 260=Toilet Facilities, 301=IDPs resettlement, 420=Political crisis / elections, 460=Foreign exchange, 461=Fuel, 463=Inputs subsidy prog problems, 464=Domestic violence/VAW/rape, 465=Same sex relationships, 580=Sewerage/Sanitation, 621=Flood Management & Control, 661=Floods, 700=Drug abuse / Substance abuse, 740=Union Matters, 741=Constitutional matters, 742=Leadership, 781=Presidential term limit, 860=Use of foreign currency, 861=Lack of local currency, 862=Removal of sanctions, 863=Financial support for the disabled and elderly, 1100=Grain mills, 1180=Demographic growth, 1261=Reconciliation / Real peace, 1262=Release of political prisoners, 1461=Ineffectiveness or corruption in media, 1581=Strikes, 1582=Reforming the judiciary and media, 1583=Decreasing the ratio L level of social and economic development, 1620=Support for elderly, 1621=Social welfare, 1622=Care of disabled, marginalized, 9995=Other, 9996=No further reply, 9998=Refused to answer, -1=Missing | In your opinion, what are the most important problems facing this country that government should address?"
Q63PT3OTHER,Q63pt3other. MIP - 3rd response (verbatim)
Q64,"How likely government will solve this problem within the next five years | Taking the problem that you mentioned first, how likely do you think it is that government will solve this problem within the next five years?"
Q65A,"Handling managing the economy | Now let’s speak about the present government of this country. How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Managing the economy?"
Q65B,"Handling improving living standards of the poor | Now let’s speak about the present government of this country. How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Improving the living standards of the poor."
Q65C,"Handling creating jobs | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Creating jobs?"
Q65D,"Handling keeping prices down | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Keeping prices down?"
Q65E,"Handling narrowing income gaps | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Narrowing gaps between rich and poor?"
Q65F,"Handling reducing crime | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Reducing crime?"
Q65G,"Handling improving basic health services | How well or badly would you say the current government is handling the following matters, or haven’t you heard enough to say: Improving basic health services?"
