variable,question_text
country,Country
respno,Respondent number
backchk,Household back-checked?
urbrur,Urban or Rural Primary Sampling Unit | PSU/EA
region,Province or Region | Region
district,District
hholdse1,Reason for Unsuccessful Call 1 | Reasons for unsuccessful calls – Household 1
hholdse2,Reason for Unsuccessful Call 2 | Reasons for unsuccessful calls – Household 2
hholdse3,Reason for Unsuccessful Call 3 | Reasons for unsuccessful calls – Household 3
hholdse4,Reason for Unsuccessful Call 4 | Reasons for unsuccessful calls – Household 4
hholdse5,Reason for Unsuccessful Call 5 | Reasons for unsuccessful calls – Household 5
hholdse6,Reason for Unsuccessful Call 6 | Reasons for unsuccessful calls – Household 6
hholdse7,Reason for Unsuccessful Call 7 | Reasons for unsuccessful calls – Household 7
prevint,"Previous interview, gender | Previous interview was with a:"
currint,"This interview, gender | This interview must be with a:"
calls,Number of calls | Interviewer: How many calls were made to the household where the interview actually took place?
dateintr,Date of interview
strtime,Time interview started
q1,Age | How old are you?
q2,Head of household | Are you the head of the household?
q3,Language of respondent | Which [Ghanaian/Kenyan/etc.] language is your home language?
q4a,"Country’s present economic condition | In general, how would you describe: The present economic conditions of this country?"
q4b,"Your present living conditions | In general, how would you describe: Your own present living conditions?"
q5,"Your living conditions vs. others | In general, how do you rate: Your living conditions compared to those of other [Ghanaians/Kenyans/etc.]?"
q6a,"Country’s economic condition 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Economic conditions in this country?"
q6b,"Your living conditions 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Your living conditions?"
q7a,"Country’s economic condition in 12 months | Looking ahead, do you expect the following to be better or worse: Economic conditions in this country in twelve months time?"
q7b,"Your living conditions in 12 months | Looking ahead, do you expect the following to be better or worse: Your living conditions in twelve months time?"
q8a,"How often gone without food | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough food to eat?"
q8b,"How often gone without water | Over the past year, how often, if ever, have you or anyone in your family gone without: Enough clean water for home use?"
q8c,"How often gone without medical care | Over the past year, how often, if ever, have you or anyone in your family gone without: Medicines or medical treatment?"
