variable,question_text
country,Country
respno,Respondent number
backchk,Household back-checked?
urbrur,Urban or Rural Primary Sampling Unit | PSU/EA
region,Region/Province
hholdse1,Reason for Unsuccessful Call 1 2 | Reasons for Unsuccessful Calls – Household 1
hholdse2,Reason for Unsuccessful Call 2 | Reasons for Unsuccessful Calls – Household 2
hholdse3,Reason for Unsuccessful Call 3 | Reasons for Unsuccessful Calls – Household 3
hholdse4,Reason for Unsuccessful Call 4 | Reasons for Unsuccessful Calls – Household 4
hholdse5,Reason for Unsuccessful Call 5 | Reasons for Unsuccessful Calls – Household 5
hholdse6,Reason for Unsuccessful Call 6 | Reasons for Unsuccessful Calls – Household 6
hholdse7,Reason for Unsuccessful Call 7 | Reasons for Unsuccessful Calls – Household 7
prevint,"Previous interview, gender | Previous interview was with a:"
currint,"This interview, gender | This interview must be with a:"
calls,Number of calls | Interviewer: How many calls were made to the household where the interview actually took place?
dateintr,Date of interview
strtime,Time interview started
q1a,"Country’s present economic condition | Let’s begin by talking about economic conditions. In general, how would you describe: The present economic conditions of this country? 4"
q1b,"Your present living conditions | In general, how would you describe: Your own present living conditions?"
q2a,"Country’s economic condition vs. neighbours | In general, how do you rate: The economic conditions in this country compared to those in neighbouring countries?"
q2b,"Your living conditions vs. others | In general, how do you rate: Your living conditions compared to those of other {countrymen]?"
q3a,"Country’s economic condition 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Economic conditions in this country?"
q3b,"Your living conditions 12 months ago | Looking back, how do you rate the following compared to twelve months ago: Your living conditions?"
q4a,"Country’s economic condition in 12 months | Looking ahead, do you expect the following to be better or worse: Economic conditions in this country in twelve months time?"
q4b,"Your living conditions in 12 months | Looking ahead, do you expect the following to be better or worse: Your living conditions in twelve months time?"
q5a,"First meaning of “poor” | In your opinion, what does it mean to be “poor”?"
q5b,"Second meaning of “poor” | In your opinion, what does it mean to be “poor”?"
q5c,"Third meaning of “poor” | In your opinion, what does it mean to be “poor”?"
