step,question,source
1,"What are your thoughts about maoney in politics?","autoplay:/home/ishanu/Dropbox/ZED/Research/MAGICS/DTAG/assets/questions_score_increased.csv"
2,"are you worried about immigration and immigrants?","autoplay:/home/ishanu/Dropbox/ZED/Research/MAGICS/DTAG/assets/questions_score_increased.csv"
3,"are you concerned about corruption in the government?","autoplay:/home/ishanu/Dropbox/ZED/Research/MAGICS/DTAG/assets/questions_score_increased.csv"
4,"what do u think about taxation?","autoplay:/home/ishanu/Dropbox/ZED/Research/MAGICS/DTAG/assets/questions_score_increased.csv"
