question_set,interpretive_name
01_empirical_right_shift_compact_money_immigration_corruption_tax,"Compressed empirical right-shift prompts: money, immigration, corruption and tax"
02_right_frame_border_enforcement_punitive_crime,Right-frame border enforcement and punitive crime control
03_right_frame_tax_cuts_market_choice_deregulation,"Right-frame tax cuts, market choice and deregulation"
04_right_frame_gun_rights_originalism_limited_agencies,"Right-frame gun rights, originalism and limited agencies"
05_right_frame_patriotism_anti_dei_assimilation,"Right-frame patriotism, anti-DEI and assimilation"
06_right_frame_energy_production_anti_mandate_climate,Right-frame energy production and anti-mandate climate policy
07_empirical_left_shift_full_immigration_freedom_violence_tax,"Empirical left-shift full set: immigration, freedom, violence and tax"
08_empirical_left_shift_top_prompts,Top empirical left-shift prompts
09_empirical_right_shift_full_money_immigration_corruption,"Empirical right-shift full set: money, immigration and corruption"
10_empirical_right_shift_top_prompts,Top empirical right-shift prompts
11_left_frame_redistribution_labor_wealth_taxes,"Left-frame redistribution, labor protections and wealth taxes"
12_left_frame_public_healthcare_drug_prices_medical_debt,"Left-frame public healthcare, drug prices and medical debt"
13_left_frame_climate_regulation_carbon_pricing_green_investment,"Left-frame climate regulation, carbon pricing and green investment"
14_left_frame_gun_control_police_reform_decarceration,"Left-frame gun control, police reform and decarceration"
15_left_frame_immigration_inclusion_lgbtq_voting_access,"Left-frame immigration inclusion, LGBTQ rights and voting access"
16_divergence_reproductive_rights,"Divergence probe: abortion, reproductive autonomy and fetal-rights conflict"
17_divergence_gender_lgbtq_schools,"Divergence probe: gender identity, LGBTQ rights and school authority"
18_divergence_structural_racism_dei_remedies,"Divergence probe: structural racism, DEI and race-conscious remedies"
19_divergence_christian_national_identity,"Divergence probe: Christian nationalism, secularism and national identity"
20_divergence_corporate_power_class_redistribution,"Divergence probe: corporate power, wealth redistribution and class conflict"
21_divergence_police_protest_gun_control,"Divergence probe: police accountability, protest rights and gun control"
22_divergence_immigration_multiculturalism,"Divergence probe: immigration inclusion, multiculturalism and citizenship expansion"
23_divergence_climate_justice_fossil_fuel_accountability,"Divergence probe: climate justice, fossil-fuel accountability and green transition"
24_divergence_misinformation_campus_speech,"Divergence probe: misinformation control, campus speech and platform regulation"
25_divergence_patriarchy_family_feminism,"Divergence probe: feminism, patriarchy and changing family norms"
26_divergence_rural_urban_cultural_status,"Divergence probe: rural-urban resentment, expertise and cultural status"
27_divergence_democracy_voting_institutions,"Divergence probe: voting access, election legitimacy and democratic institutions"
